siteID	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig0_39226	11	17	10	14	9	13	9	10	18	9	4	15	10	5	8	8	8	8
Contig0_39234	10	7	10	5	12	11	7	8	8	7	1	10	8	5	12	5	12	10
Contig0_64179	9	10	8	20	8	13	5	11	9	3	4	14	8	18	17	10	10	7
Contig0_71523	16	12	13	16	11	8	11	10	15	19	17	13	24	18	28	18	17	18
Contig0_71533	21	17	17	17	21	13	17	20	20	27	22	17	32	23	33	22	23	22
Contig0_71542	21	22	16	14	15	12	28	13	18	21	19	12	35	25	32	21	16	21
Contig0_71546	20	19	14	12	12	15	24	13	15	19	15	11	30	21	26	20	15	16
Contig0_71558	20	18	12	15	13	5	25	11	18	28	21	19	29	25	29	25	23	18
Contig0_71563	19	18	12	18	12	8	24	9	18	26	21	19	16	26	32	26	28	15
Contig0_71617	18	13	21	17	14	8	20	19	12	20	18	12	23	24	29	17	23	17
Contig0_71647	19	19	14	21	15	9	21	28	19	19	26	15	20	27	33	29	28	20
Contig0_71667	17	12	16	16	14	10	18	18	18	21	26	23	23	27	26	31	15	20
Contig0_71680	18	14	18	15	19	13	19	15	21	25	20	25	28	33	23	31	21	21
Contig0_71685	15	14	15	16	19	13	21	16	23	30	24	27	26	29	25	28	22	20
Contig0_71690	19	15	15	20	22	13	23	18	29	29	26	25	26	22	28	31	26	19
Contig0_71699	14	18	15	20	17	13	20	15	22	24	21	24	29	26	26	24	24	16
Contig0_71701	18	19	15	19	17	13	20	13	20	28	21	23	31	33	35	24	28	19
Contig100_57574	15	15	12	16	10	9	17	21	15	22	10	16	18	30	19	27	30	14
Contig100009_843	17	13	13	14	7	11	17	9	18	28	22	14	21	28	30	30	24	16
Contig100023_8119	20	16	19	15	11	12	12	13	19	26	7	16	21	24	39	16	12	23
Contig100024_90	9	6	13	11	9	5	15	12	8	12	22	8	21	16	25	19	13	9
Contig100073_892	17	8	19	18	17	18	9	16	14	14	3	12	14	17	10	14	14	26
Contig100117_1003	20	14	15	21	17	8	14	16	16	15	22	17	28	34	25	13	27	3
Contig100117_1018	21	18	11	17	15	8	14	17	17	14	17	18	24	24	27	17	24	20
Contig100137_22	12	9	15	18	8	8	22	13	20	11	23	16	23	20	21	25	16	15
