Contig0	349	583	5	234
Contig0	742	1471	17	729
Contig0	8123	8407	10	284
Contig0	13826	14435	13	609
Contig0	33330	33577	6	247
Contig0	35182	35743	16	561
Contig0	43267	43476	5	209
Contig0	57590	57831	8	241
Contig0	61419	61752	10	333
Contig0	64123	64431	14	308
Contig0	67185	67974	28	789
Contig0	71487	72301	22	814
Contig0	75743	76054	11	311
Contig0	84549	84848	8	299
Contig0	87567	87892	11	325
Contig0	100266	100466	9	200
Contig0	100874	101114	8	240
Contig1	2187	2541	17	354
Contig1	4073	4350	7	277
Contig1	5358	6365	21	1007
Contig1	10589	10806	6	217
Contig1	11594	12091	11	497
Contig1	38255	38646	10	391
Contig10	24859	26139	31	1280
Contig10	57177	57564	9	387
Contig10	59485	59853	12	368
Contig10	62295	62653	9	358
Contig10	71050	71593	15	543
Contig10	75553	76789	42	1236
Contig100009	842	1089	7	247
Contig100010	876	1090	6	214
Contig100037	8	489	13	481
Contig100037	9032	9360	10	328
Contig100048	1996	2267	7	271
Contig10005	183	486	7	303
Contig100053	3098	3301	7	203
Contig10006	582	2207	40	1625
Contig100066	2125	2393	8	268
Contig100073	891	1195	8	304
Contig100080	7095	7735	15	640
Contig100099	687	894	7	207
Contig100103	1359	1678	7	319
Contig100103	2633	3900	27	1267
Contig100103	6751	7122	10	371
Contig100114	442	2054	85	1612
Contig100117	838	1155	17	317
Contig100118	1532	2141	17	609
Contig100127	4257	4649	9	392
Contig100137	9	609	14	600
Contig100139	287	1642	28	1355
Contig100140	1034	1235	7	201
Contig100140	1799	2259	11	460
Contig100142	853	1720	19	867
Contig100153	6178	6872	19	694
Contig100155	103	892	21	789
Contig100155	3140	3995	25	855
Contig100158	2506	3112	13	606
Contig100158	6142	7333	31	1191
Contig100164	43	1484	30	1441
Contig100177	2433	2671	8	238
Contig100183	3897	4357	12	460
Contig100188	2170	2750	16	580
Contig100199	16891	17238	7	347
Contig100199	20463	20886	14	423
Contig100199	24007	24606	24	599
Contig1002	3575	3815	5	240
Contig100201	7866	8599	19	733
Contig100201	9351	9734	8	383
Contig100201	9846	10097	9	251
Contig100201	10433	11674	27	1241
Contig100201	11873	12717	19	844
Contig100201	13104	13530	9	426
Contig100201	14322	14549	5	227
Contig100201	14787	15021	6	234
Contig100201	15387	16411	35	1024
Contig100213	445	653	7	208
Contig100222	37	1263	30	1226
Contig100229	5799	6057	9	258
Contig100229	6435	7188	16	753
Contig100229	7502	8162	21	660
Contig100229	9397	10459	39	1062
Contig10023	26	1369	32	1343
Contig10023	3424	3632	6	208
Contig100230	1002	1358	11	356
Contig100231	2261	2580	8	319
Contig100231	3707	4047	20	340
Contig100242	202	651	18	449
Contig100242	4596	4912	10	316
Contig100244	2457	3458	21	1001
Contig100247	5810	6108	6	298
Contig100253	1306	1648	7	342
Contig10026	702	1284	16	582
Contig100267	1973	2831	21	858
Contig100267	6647	7053	12	406
Contig10027	178	1033	20	855
Contig100277	2498	2745	6	247
Contig100277	2924	4031	25	1107
Contig100280	3666	4006	10	340
Contig100283	5322	5768	13	446
Contig100292	19046	19988	22	942
Contig100301	2708	2941	8	233
Contig100317	5719	6639	20	920
