Contig0	481	1471	21	990
Contig0	13826	14435	13	609
Contig0	35182	35743	16	561
Contig0	71487	72301	22	814
Contig0	87195	87892	16	697
Contig1	2034	2541	18	507
Contig1	5223	6126	22	903
Contig10	24859	26139	31	1280
Contig10	59350	59853	14	503
Contig10	71050	71593	15	543
Contig10	75553	76789	42	1236
Contig10006	582	2207	40	1625
Contig100103	2633	3900	27	1267
Contig100114	73	2054	90	1981
Contig100118	1339	2141	18	802
Contig100137	9	609	14	600
Contig100139	287	1642	28	1355
Contig100142	853	1720	19	867
Contig100153	5800	6872	24	1072
Contig100155	103	892	21	789
Contig100155	2915	3995	27	1080
Contig100158	2506	3112	13	606
Contig100158	5848	7333	35	1485
Contig100164	43	1109	28	1066
Contig100188	2170	2750	16	580
Contig100199	20297	20886	16	589
Contig100199	24007	24606	24	599
Contig100201	7866	8599	19	733
Contig100201	9386	10097	16	711
Contig100201	10433	11248	18	815
Contig100201	12001	12717	18	716
Contig100201	15387	16411	35	1024
Contig100222	37	1263	30	1226
Contig100229	6057	6570	11	513
Contig100229	7168	8162	23	994
Contig100229	9397	10459	39	1062
Contig10023	26	1369	32	1343
Contig100244	2457	3458	21	1001
Contig10026	608	1284	18	676
Contig10027	178	1033	20	855
Contig100277	3197	4031	19	834
Contig100292	19046	19988	22	942
Contig100317	5719	6639	20	920
Contig100335	1708	2781	22	1073
Contig100335	3976	4503	13	527
Contig100339	962	1829	21	867
Contig100348	1847	3541	46	1694
Contig100353	1632	2458	25	826
Contig100396	1286	2987	57	1701
Contig100455	4730	5544	21	814
Contig100470	13957	14545	18	588
Contig100501	1862	2421	14	559
Contig100505	1598	2877	29	1279
Contig100527	2934	3558	16	624
Contig10054	2605	3193	13	588
Contig100541	1068	1696	14	628
Contig100556	1654	2181	13	527
Contig100574	1094	2076	22	982
Contig100578	989	1756	19	767
Contig100585	11813	12907	28	1094
Contig1006	11485	13115	48	1630
Contig100611	6	726	19	720
Contig100611	4128	4647	13	519
Contig100630	6746	8374	45	1628
Contig100691	7651	8206	19	555
Contig100696	1762	2304	13	542
Contig100696	2439	3600	31	1161
Contig100723	57	573	12	516
Contig100723	1146	1840	17	694
Contig100728	1210	1892	16	682
Contig10074	4524	5033	16	509
Contig10074	5453	6562	30	1109
Contig100740	4949	6040	24	1091
Contig100743	8916	9509	14	593
Contig100743	9673	10703	39	1030
Contig100764	135	680	12	545
Contig100771	1306	1827	14	521
Contig100774	3995	4508	11	513
Contig100776	1448	4036	55	2588
Contig100796	7917	8607	26	690
Contig1008	2941	3848	19	907
Contig100801	821	2462	39	1641
Contig100806	766	1831	32	1065
Contig100807	1627	5559	100	3932
Contig100831	4296	4891	21	595
Contig100841	133	1067	22	934
Contig100843	2533	3354	21	821
Contig100843	8082	8883	22	801
Contig100844	2238	2840	17	602
Contig10086	742	1415	14	673
Contig100872	396	948	16	552
Contig100874	2531	3382	25	851
Contig100909	46	1608	48	1562
Contig100915	3333	4353	25	1020
Contig100949	3036	3661	16	625
Contig100960	2310	2836	13	526
Contig100964	6664	8422	41	1758
Contig100964	8837	9528	30	691
Contig100994	1959	4894	95	2935
Contig100994	10503	11123	14	620
Contig1010	18536	19097	12	561
Contig1010	23959	27099	82	3140
Contig101025	1141	1642	13	501
Contig101025	3217	3766	14	549
Contig101039	324	1021	18	697
Contig101063	218	1304	33	1086
Contig101068	2077	2974	22	897
Contig101068	10561	11291	23	730
Contig101076	118	1184	32	1066
Contig101091	3089	3624	13	535
Contig101094	2353	3015	22	662
Contig101118	362	1996	35	1634
Contig101130	927	1759	20	832
Contig101138	17	673	20	656
Contig101138	14357	15130	18	773
Contig101152	3392	4419	24	1027
Contig101152	10825	11529	16	704
Contig101152	13008	13900	21	892
Contig10117	3703	5966	48	2263
Contig101184	445	1033	13	588
Contig101201	2815	3562	18	747
Contig101222	4805	5560	18	755
Contig101222	7163	7770	19	607
Contig101222	8590	9157	14	567
Contig101226	605	1891	29	1286
Contig101233	1780	2436	16	656
Contig101233	3134	3943	18	809
Contig101247	966	1480	18	514
Contig101249	3327	4290	29	963
Contig10126	216	796	21	580
Contig1013	12756	13386	17	630
Contig1013	15550	16365	25	815
Contig1013	17784	20366	60	2582
Contig1013	20898	22165	31	1267
Contig101313	4061	4680	17	619
Contig101316	1800	2585	27	785
Contig101333	3938	4601	26	663
Contig101346	2830	3657	18	827
Contig101348	6360	6860	20	500
Contig101361	7351	7855	11	504
Contig101375	2543	3748	35	1205
Contig101375	6344	7150	23	806
Contig101382	4155	4754	20	599
Contig101391	5218	6183	26	965
Contig10144	415	1789	50	1374
Contig10144	4942	8291	91	3349
Contig101459	6514	7152	14	638
Contig101480	1537	2371	19	834
Contig101498	5	557	14	552
Contig10151	176	1149	26	973
Contig101518	1127	1840	34	713
Contig101527	13268	13968	17	700
Contig101527	14253	17085	58	2832
Contig101529	73	763	15	690
Contig101529	2932	3498	15	566
Contig101529	4203	4926	16	723
Contig10157	827	1480	19	653
Contig101573	339	895	13	556
Contig101573	1946	2910	22	964
Contig101603	2192	2694	12	502
Contig101606	567	1213	25	646
Contig101608	12551	13210	14	659
