geneid	chr	s1	s2
Contig0_39226_39226	Contig0	39226	39226
Contig0_39234_39234	Contig0	39234	39234
Contig0_64179_64179	Contig0	64179	64179
Contig0_71523_71523	Contig0	71523	71523
Contig0_71533_71533	Contig0	71533	71533
Contig0_71542_71542	Contig0	71542	71542
Contig0_71546_71546	Contig0	71546	71546
Contig0_71558_71558	Contig0	71558	71558
Contig0_71563_71563	Contig0	71563	71563
Contig0_71617_71617	Contig0	71617	71617
Contig0_71647_71647	Contig0	71647	71647
Contig0_71667_71667	Contig0	71667	71667
Contig0_71680_71680	Contig0	71680	71680
Contig0_71685_71685	Contig0	71685	71685
Contig0_71690_71690	Contig0	71690	71690
Contig0_71699_71699	Contig0	71699	71699
Contig0_71701_71701	Contig0	71701	71701
Contig100009_843_843	Contig100009	843	843
Contig100023_8119_8119	Contig100023	8119	8119
Contig100024_90_90	Contig100024	90	90
Contig100073_892_892	Contig100073	892	892
Contig100117_1003_1003	Contig100117	1003	1003
Contig100117_1018_1018	Contig100117	1018	1018
Contig100137_122_122	Contig100137	122	122
Contig100137_144_144	Contig100137	144	144
Contig100137_157_157	Contig100137	157	157
Contig100137_183_183	Contig100137	183	183
Contig100137_193_193	Contig100137	193	193
Contig100137_197_197	Contig100137	197	197
Contig100137_22_22	Contig100137	22	22
Contig100137_27_27	Contig100137	27	27
Contig100137_97_97	Contig100137	97	97
Contig100139_582_582	Contig100139	582	582
Contig100139_807_807	Contig100139	807	807
Contig100139_835_835	Contig100139	835	835
Contig100139_896_896	Contig100139	896	896
Contig100164_1018_1018	Contig100164	1018	1018
Contig100164_1026_1026	Contig100164	1026	1026
Contig100164_1037_1037	Contig100164	1037	1037
Contig100164_505_505	Contig100164	505	505
Contig100164_509_509	Contig100164	509	509
Contig100164_995_995	Contig100164	995	995
Contig100188_2357_2357	Contig100188	2357	2357
Contig100188_2371_2371	Contig100188	2371	2371
Contig100188_548_548	Contig100188	548	548
Contig100188_555_555	Contig100188	555	555
Contig100188_606_606	Contig100188	606	606
Contig100188_613_613	Contig100188	613	613
Contig100188_616_616	Contig100188	616	616
Contig100188_628_628	Contig100188	628	628
Contig100188_692_692	Contig100188	692	692
Contig100199_24194_24194	Contig100199	24194	24194
Contig100199_24245_24245	Contig100199	24245	24245
Contig100231_3835_3835	Contig100231	3835	3835
Contig100231_3858_3858	Contig100231	3858	3858
Contig100231_3862_3862	Contig100231	3862	3862
Contig100231_3866_3866	Contig100231	3866	3866
Contig100231_3874_3874	Contig100231	3874	3874
Contig100231_3886_3886	Contig100231	3886	3886
Contig100231_3896_3896	Contig100231	3896	3896
Contig100231_3912_3912	Contig100231	3912	3912
Contig100231_3924_3924	Contig100231	3924	3924
Contig100231_3982_3982	Contig100231	3982	3982
Contig100231_4016_4016	Contig100231	4016	4016
Contig100231_4048_4048	Contig100231	4048	4048
Contig100242_4069_4069	Contig100242	4069	4069
Contig100242_4082_4082	Contig100242	4082	4082
Contig100242_4084_4084	Contig100242	4084	4084
Contig100242_4094_4094	Contig100242	4094	4094
Contig100242_4100_4100	Contig100242	4100	4100
Contig100247_5811_5811	Contig100247	5811	5811
Contig100247_5815_5815	Contig100247	5815	5815
Contig100247_6214_6214	Contig100247	6214	6214
Contig100267_6648_6648	Contig100267	6648	6648
Contig100267_6663_6663	Contig100267	6663	6663
Contig10027_209_209	Contig10027	209	209
Contig100274_294_294	Contig100274	294	294
Contig100348_1548_1548	Contig100348	1548	1548
Contig100348_2335_2335	Contig100348	2335	2335
Contig100353_1879_1879	Contig100353	1879	1879
Contig100353_1883_1883	Contig100353	1883	1883
Contig100353_1901_1901	Contig100353	1901	1901
Contig100396_1493_1493	Contig100396	1493	1493
Contig100396_1509_1509	Contig100396	1509	1509
Contig100396_2842_2842	Contig100396	2842	2842
Contig100396_2845_2845	Contig100396	2845	2845
Contig100396_2852_2852	Contig100396	2852	2852
Contig100396_2867_2867	Contig100396	2867	2867
Contig100499_2590_2590	Contig100499	2590	2590
Contig100522_5271_5271	Contig100522	5271	5271
Contig100522_5285_5285	Contig100522	5285	5285
Contig100522_5295_5295	Contig100522	5295	5295
Contig100556_1702_1702	Contig100556	1702	1702
Contig100556_1729_1729	Contig100556	1729	1729
Contig100556_1864_1864	Contig100556	1864	1864
Contig100556_1869_1869	Contig100556	1869	1869
Contig100_57574_57574	Contig100	57574	57574
Contig100578_1219_1219	Contig100578	1219	1219
Contig100578_1226_1226	Contig100578	1226	1226
Contig100578_1240_1240	Contig100578	1240	1240
Contig100578_1264_1264	Contig100578	1264	1264
Contig100586_12277_12277	Contig100586	12277	12277
Contig100586_12579_12579	Contig100586	12579	12579
Contig1006_12773_12773	Contig1006	12773	12773
Contig100691_8019_8019	Contig100691	8019	8019
Contig100706_937_937	Contig100706	937	937
Contig100706_944_944	Contig100706	944	944
Contig100728_1455_1455	Contig100728	1455	1455
Contig100743_10172_10172	Contig100743	10172	10172
Contig100743_10234_10234	Contig100743	10234	10234
Contig100743_10246_10246	Contig100743	10246	10246
Contig100745_189_189	Contig100745	189	189
Contig10074_5759_5759	Contig10074	5759	5759
Contig10074_5773_5773	Contig10074	5773	5773
Contig100764_569_569	Contig100764	569	569
Contig100771_1673_1673	Contig100771	1673	1673
Contig100776_1656_1656	Contig100776	1656	1656
Contig100776_1700_1700	Contig100776	1700	1700
Contig100776_1764_1764	Contig100776	1764	1764
Contig100776_1801_1801	Contig100776	1801	1801
Contig100776_1805_1805	Contig100776	1805	1805
Contig100776_1814_1814	Contig100776	1814	1814
Contig100776_1837_1837	Contig100776	1837	1837
Contig100776_1862_1862	Contig100776	1862	1862
Contig100776_1873_1873	Contig100776	1873	1873
Contig100776_1884_1884	Contig100776	1884	1884
Contig100776_1893_1893	Contig100776	1893	1893
Contig100776_1897_1897	Contig100776	1897	1897
Contig100776_1899_1899	Contig100776	1899	1899
Contig100776_1915_1915	Contig100776	1915	1915
Contig100776_1973_1973	Contig100776	1973	1973
Contig100776_1988_1988	Contig100776	1988	1988
Contig10077_76_76	Contig10077	76	76
Contig10077_89_89	Contig10077	89	89
Contig100807_3533_3533	Contig100807	3533	3533
Contig100807_3551_3551	Contig100807	3551	3551
Contig100831_4297_4297	Contig100831	4297	4297
Contig100831_4306_4306	Contig100831	4306	4306
Contig100843_8720_8720	Contig100843	8720	8720
Contig100844_2782_2782	Contig100844	2782	2782
Contig100964_9123_9123	Contig100964	9123	9123
Contig100964_9127_9127	Contig100964	9127	9127
Contig100964_9135_9135	Contig100964	9135	9135
Contig100964_9249_9249	Contig100964	9249	9249
Contig100988_3321_3321	Contig100988	3321	3321
Contig100988_3333_3333	Contig100988	3333	3333
Contig100994_3428_3428	Contig100994	3428	3428
Contig100994_4206_4206	Contig100994	4206	4206
Contig100994_4237_4237	Contig100994	4237	4237
Contig100994_4252_4252	Contig100994	4252	4252
Contig100994_4287_4287	Contig100994	4287	4287
Contig1010_26245_26245	Contig1010	26245	26245
Contig101063_219_219	Contig101063	219	219
Contig101063_223_223	Contig101063	223	223
Contig101063_229_229	Contig101063	229	229
Contig101063_333_333	Contig101063	333	333
Contig101093_767_767	Contig101093	767	767
Contig101118_868_868	Contig101118	868	868
Contig101118_899_899	Contig101118	899	899
Contig101118_908_908	Contig101118	908	908
Contig101130_953_953	Contig101130	953	953
Contig101138_14668_14668	Contig101138	14668	14668
Contig101138_14681_14681	Contig101138	14681	14681
Contig101153_3210_3210	Contig101153	3210	3210
Contig101153_3212_3212	Contig101153	3212	3212
Contig101153_3220_3220	Contig101153	3220	3220
Contig101153_3227_3227	Contig101153	3227	3227
Contig10117_4187_4187	Contig10117	4187	4187
Contig10117_4221_4221	Contig10117	4221	4221
Contig10117_4231_4231	Contig10117	4231	4231
Contig10117_4282_4282	Contig10117	4282	4282
Contig101226_1132_1132	Contig101226	1132	1132
Contig101233_1885_1885	Contig101233	1885	1885
Contig101233_1890_1890	Contig101233	1890	1890
Contig10126_488_488	Contig10126	488	488
Contig10126_657_657	Contig10126	657	657
Contig10126_680_680	Contig10126	680	680
Contig101300_15017_15017	Contig101300	15017	15017
Contig1013_13082_13082	Contig1013	13082	13082
Contig1013_18228_18228	Contig1013	18228	18228
Contig1013_18261_18261	Contig1013	18261	18261
Contig1013_18326_18326	Contig1013	18326	18326
Contig1013_18364_18364	Contig1013	18364	18364
Contig1013_18434_18434	Contig1013	18434	18434
Contig1013_18662_18662	Contig1013	18662	18662
Contig1013_18683_18683	Contig1013	18683	18683
Contig1013_18694_18694	Contig1013	18694	18694
Contig1013_18778_18778	Contig1013	18778	18778
Contig1013_18799_18799	Contig1013	18799	18799
Contig1013_18850_18850	Contig1013	18850	18850
Contig1013_21011_21011	Contig1013	21011	21011
Contig1013_21395_21395	Contig1013	21395	21395
Contig101333_4347_4347	Contig101333	4347	4347
Contig101333_4360_4360	Contig101333	4360	4360
Contig101333_4473_4473	Contig101333	4473	4473
Contig101333_4477_4477	Contig101333	4477	4477
Contig101333_4493_4493	Contig101333	4493	4493
Contig101346_3151_3151	Contig101346	3151	3151
Contig101346_3160_3160	Contig101346	3160	3160
Contig101346_3164_3164	Contig101346	3164	3164
Contig101346_3184_3184	Contig101346	3184	3184
Contig101375_2964_2964	Contig101375	2964	2964
Contig101375_2970_2970	Contig101375	2970	2970
Contig101375_3072_3072	Contig101375	3072	3072
Contig101375_3079_3079	Contig101375	3079	3079
Contig101377_3231_3231	Contig101377	3231	3231
Contig10144_5449_5449	Contig10144	5449	5449
Contig10144_6229_6229	Contig10144	6229	6229
Contig10144_6300_6300	Contig10144	6300	6300
Contig10144_6346_6346	Contig10144	6346	6346
Contig10144_6387_6387	Contig10144	6387	6387
Contig10144_724_724	Contig10144	724	724
Contig10144_730_730	Contig10144	730	730
Contig101488_64_64	Contig101488	64	64
Contig101497_681_681	Contig101497	681	681
Contig101497_683_683	Contig101497	683	683
Contig101518_1409_1409	Contig101518	1409	1409
Contig101541_7178_7178	Contig101541	7178	7178
Contig101546_167_167	Contig101546	167	167
Contig10157_954_954	Contig10157	954	954
Contig10157_956_956	Contig10157	956	956
Contig101603_2650_2650	Contig101603	2650	2650
Contig101603_2653_2653	Contig101603	2653	2653
Contig101620_2541_2541	Contig101620	2541	2541
Contig101620_2584_2584	Contig101620	2584	2584
Contig101620_2598_2598	Contig101620	2598	2598
Contig101620_2633_2633	Contig101620	2633	2633
Contig101620_2641_2641	Contig101620	2641	2641
Contig101620_2676_2676	Contig101620	2676	2676
Contig101620_2684_2684	Contig101620	2684	2684
Contig101656_1466_1466	Contig101656	1466	1466
Contig101656_1474_1474	Contig101656	1474	1474
Contig101656_1498_1498	Contig101656	1498	1498
Contig101656_1506_1506	Contig101656	1506	1506
Contig101656_1511_1511	Contig101656	1511	1511
Contig101656_3856_3856	Contig101656	3856	3856
Contig101656_3942_3942	Contig101656	3942	3942
