id	contig	start	end	notes_gene	fst01
Contig29033_11407_32648	Contig29033	11407	32648	ID=OLUR_00003721;Name=OLUR_00003721;Alias=maker-Contig29033-snap-gene-0.4;Note=Similar to G2/mitotic-specific cyclin-B (Hydra viridissima OX%3D6082);Dbxref=CDD:cd00043,Gene3D:G3DSA:1.10.472.10,InterPro:IPR004367,InterPro:IPR006671,InterPro:IPR013763,InterPro:IPR036915,InterPro:IPR039361,MobiDBLite:mobidb-lite,PIRSF:PIRSF001771,Pfam:PF00134,SMART:SM00385,SMART:SM01332,SUPERFAMILY:SSF47954;Ontology_term=GO:0005634;SPID=P51987;	0.441704035874439
Contig77382_1559_12918	Contig77382	1559	12918	ID=OLUR_00016056;Name=OLUR_00016056;Alias=snap_masked-Contig77382-processed-gene-0.0;Note=Similar to Socs5: Suppressor of cytokine signaling 5 (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:3.30.505.10,InterPro:IPR000980,InterPro:IPR036860,MobiDBLite:mobidb-lite,Pfam:PF00017,SUPERFAMILY:SSF55550;SPID=O54928;	0.663352272727273
Contig34298_13092_51114	Contig34298	13092	51114	ID=OLUR_00001738;Name=OLUR_00001738;Alias=maker-Contig34298-snap-gene-0.4;Note=Similar to BIRC6: Baculoviral IAP repeat-containing protein 6 (Homo sapiens OX%3D9606);Dbxref=CDD:cd00022,Gene3D:G3DSA:1.10.1170.10,InterPro:IPR001370,InterPro:IPR019775,InterPro:IPR036322,MobiDBLite:mobidb-lite,Pfam:PF00653,ProSitePatterns:PS00678,ProSiteProfiles:PS50143,SMART:SM00238,SUPERFAMILY:SSF50978,SUPERFAMILY:SSF57924;Ontology_term=GO:0005515;SPID=Q9NR09;	0.371428571428571
Contig1300_24883_44806	Contig1300	24883	44806	ID=OLUR_00001915;Name=OLUR_00001915;Alias=maker-Contig1300-snap-gene-0.6;Note=Similar to Vwa5a: von Willebrand factor A domain-containing protein 5A (Rattus norvegicus OX%3D10116);Dbxref=Gene3D:G3DSA:3.40.50.410,InterPro:IPR002035,InterPro:IPR013694,InterPro:IPR036465,Pfam:PF08487,Pfam:PF13768,ProSiteProfiles:PS50234,ProSiteProfiles:PS51468,SMART:SM00609,SUPERFAMILY:SSF53300;SPID=Q75WE7;	0.331103678929766
Contig70496_1_6837	Contig70496	1	6837	ID=OLUR_00025337;Name=OLUR_00025337;Alias=maker-Contig70496-snap-gene-0.2;Note=Similar to Cyp4f4: Cytochrome P450 4F4 (Rattus norvegicus OX%3D10116);Dbxref=Gene3D:G3DSA:1.10.630.10,InterPro:IPR001128,InterPro:IPR036396,Pfam:PF00067,SUPERFAMILY:SSF48264;Ontology_term=GO:0005506,GO:0016705,GO:0020037,GO:0055114;SPID=P51869;	0.615789473684211
Contig37670_5585_14860	Contig37670	5585	14860	ID=OLUR_00015645;Name=OLUR_00015645;Alias=snap_masked-Contig37670-processed-gene-0.0;Note=Similar to TNXB: Tenascin-X (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.10.25.140,InterPro:IPR001190,InterPro:IPR001774,MobiDBLite:mobidb-lite,Pfam:PF01414,ProSiteProfiles:PS50287,ProSiteProfiles:PS51051,SMART:SM00051;Ontology_term=GO:0005044,GO:0007154,GO:0016020;SPID=P22105;	0.300689655172414
Contig20388_24341_34074	Contig20388	24341	34074	ID=OLUR_00004802;Name=OLUR_00004802;Alias=maker-Contig20388-snap-gene-0.5;Note=Similar to CSE1L: Exportin-2 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:1.25.10.10,InterPro:IPR005043,InterPro:IPR011989,InterPro:IPR013713,InterPro:IPR016024,Pfam:PF03378,Pfam:PF08506,SUPERFAMILY:SSF48371;Ontology_term=GO:0005515,GO:0006886,GO:0008536;SPID=P55060;	0.496757457846952
Contig462_1_29569	Contig462	1	29569	ID=OLUR_00006204;Name=OLUR_00006204;Alias=maker-Contig462-snap-gene-0.3;Note=Similar to SLC16A12: Monocarboxylate transporter 12 (Homo sapiens OX%3D9606);Dbxref=CDD:cd06174,Gene3D:G3DSA:1.20.1250.20,InterPro:IPR011701,InterPro:IPR020846,InterPro:IPR036259,Pfam:PF07690,ProSiteProfiles:PS50850,SUPERFAMILY:SSF103473;Ontology_term=GO:0016021,GO:0055085;SPID=Q6ZSM3;	0.32914798206278
Contig107120_1_5247	Contig107120	1	5247	ID=OLUR_00026841;Name=OLUR_00026841;Alias=maker-Contig107120-snap-gene-0.1;Note=Similar to Hr39: Nuclear hormone receptor FTZ-F1 beta (Drosophila melanogaster OX%3D7227);Dbxref=Gene3D:G3DSA:3.30.50.10,InterPro:IPR001628,InterPro:IPR013088,Pfam:PF00105,ProSiteProfiles:PS51030,SMART:SM00399,SUPERFAMILY:SSF57716;Ontology_term=GO:0003700,GO:0005634,GO:0006355,GO:0008270,GO:0043565;SPID=Q05192;	0.511904761904762
Contig84678_1_13447	Contig84678	1	13447	ID=OLUR_00017112;Name=OLUR_00017112;Alias=snap_masked-Contig84678-processed-gene-0.0;Note=Similar to LRRK2: Leucine-rich repeat serine/threonine-protein kinase 2 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:3.40.50.300,InterPro:IPR027417,Pfam:PF08477,SUPERFAMILY:SSF52540;SPID=Q5S007;	0.307129798903108
Contig38798_2664_5998	Contig38798	2664	5998	ID=OLUR_00026476;Name=OLUR_00026476;Alias=snap_masked-Contig38798-processed-gene-0.0;Note=Protein of unknown function;	0.30939226519337
Contig1888_2276_28067	Contig1888	2276	28067	ID=OLUR_00006365;Name=OLUR_00006365;Alias=snap_masked-Contig1888-processed-gene-0.2;Note=Similar to taf1b: TATA box-binding protein-associated factor RNA polymerase I subunit B (Xenopus laevis OX%3D8355);Dbxref=Coils:Coil,InterPro:IPR021752,MobiDBLite:mobidb-lite,Pfam:PF11781;SPID=Q32N22;	0.31358024691358
Contig64271_1_6968	Contig64271	1	6968	ID=OLUR_00025150;Name=OLUR_00025150;Alias=snap_masked-Contig64271-processed-gene-0.1;Note=Protein of unknown function;Dbxref=InterPro:IPR013883,MobiDBLite:mobidb-lite,Pfam:PF08574;	0.398009950248756
Contig59246_825_12129	Contig59246	825	12129	ID=OLUR_00015321;Name=OLUR_00015321;Alias=maker-Contig59246-snap-gene-0.2;Note=Similar to Cfap58: Cilia- and flagella-associated protein 58 (Mus musculus OX%3D10090);Dbxref=Coils:Coil;SPID=B2RW38;	0.383419689119171
Contig28902_528_13774	Contig28902	528	13774	ID=OLUR_00000830;Name=OLUR_00000830;Alias=maker-Contig28902-snap-gene-0.12;Note=Similar to SPON1: Spondin-1 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.20.100.10,Gene3D:G3DSA:2.60.40.2130,InterPro:IPR000884,InterPro:IPR009465,InterPro:IPR036383,InterPro:IPR038678,MobiDBLite:mobidb-lite,Pfam:PF00090,Pfam:PF06468,ProSiteProfiles:PS50092,ProSiteProfiles:PS51020,SMART:SM00209,SUPERFAMILY:SSF82895;SPID=Q9HCB6;	0.428342674139311
Contig16916_3259_40767	Contig16916	3259	40767	ID=OLUR_00001636;Name=OLUR_00001636;Alias=maker-Contig16916-snap-gene-0.8;Note=Similar to Med13: Mediator of RNA polymerase II transcription subunit 13 (Mus musculus OX%3D10090);Dbxref=InterPro:IPR009401,InterPro:IPR021643,MobiDBLite:mobidb-lite,Pfam:PF06333,Pfam:PF11597;Ontology_term=GO:0003712,GO:0006357,GO:0016592;SPID=Q5SWW4;	0.382231404958678
