id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig109515_3402	Contig109515	3402	18	2.193e-01	-4.060e-01	7.741e-02	1.569e-07	7.989e-01	2.186e-01	1.507e+01	1.999e+01	6.733e+00	1.606e+00	3.135e+00	4.608e-01	0.00516971648667308	1.569e-07	TRUE	30	24	22	26	12	15	21	20	23	41	49	22	38	35	45	30	34	22
Contig120547_984	Contig120547	984	18	3.543e-01	-2.070e-01	5.073e-02	4.517e-05	3.465e-01	1.817e-01	7.993e-01	7.939e-01	4.128e+00	9.196e-01	3.960e-02	2.050e-01	0.0744155811673114	4.517e-05	TRUE	40	25	0	26	9	19	17	34	18	40	3	21	26	19	0	12	20	9
Contig138707_4503	Contig138707	4503	18	3.151e-01	4.395e-01	9.365e-02	2.691e-06	6.449e-01	2.903e-01	5.659e+00	1.150e+01	-3.239e+00	1.609e+00	-1.114e+00	4.003e-01	0.0126665820501113	2.691e-06	TRUE	14	20	16	26	18	15	24	23	23	42	31	20	28	33	27	30	31	31
Contig141213_6476	Contig141213	6476	18	2.867e-01	1.034e+00	2.158e-01	1.641e-06	6.892e-01	2.840e-01	1.143e+01	1.344e+01	-1.180e+01	3.283e+00	-2.244e+00	6.419e-01	0.00979687084366346	1.641e-06	TRUE	9	13	13	22	19	12	14	16	15	15	7	18	23	30	28	25	19	20
Contig19176_11627	Contig19176	11627	18	2.846e-01	-4.085e-01	9.930e-02	3.897e-05	4.977e-01	2.528e-01	6.705e+00	1.174e+01	5.743e+00	1.743e+00	2.971e+00	5.400e-01	0.0713348387103074	3.897e-05	TRUE	10	9	13	18	12	4	16	13	19	15	25	12	22	23	15	23	9	19
Contig19628_579	Contig19628	579	18	2.665e-01	-3.676e-01	8.330e-02	1.017e-05	7.608e-01	2.218e-01	1.241e+01	2.019e+01	7.671e+00	2.011e+00	2.339e+00	5.564e-01	0.0304629565267195	1.017e-05	TRUE	23	13	21	15	12	11	15	19	18	29	36	11	32	35	36	39	33	15
Contig19797_29152	Contig19797	29152	18	2.580e-01	-5.402e-01	1.259e-01	1.792e-05	5.654e-01	2.287e-01	1.022e+01	1.187e+01	1.028e+01	2.227e+00	3.471e+00	6.365e-01	0.042899750577746	1.792e-05	TRUE	23	19	21	29	15	13	19	28	30	37	36	23	36	39	40	51	16	21
Contig23208_19712	Contig23208	19712	18	2.855e-01	5.299e-01	1.210e-01	1.184e-05	6.068e-01	2.528e-01	7.550e+00	1.022e+01	-3.394e+00	2.122e+00	-1.623e+00	4.233e-01	0.0325097956247128	1.184e-05	TRUE	13	12	13	16	18	7	19	14	13	11	30	11	25	39	20	29	17	17
Contig26349_1196	Contig26349	1196	18	1.820e-01	-5.812e-01	1.383e-01	2.629e-05	7.997e-01	9.968e-02	5.652e+01	3.123e+01	4.310e+00	2.722e+00	1.448e+00	6.355e-01	0.0509548406383367	2.629e-05	TRUE	9	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0
Contig29494_2656	Contig29494	2656	18	1.657e-01	4.201e-01	8.718e-02	1.444e-06	8.027e-01	4.124e-02	8.095e+01	3.223e+01	-8.652e+00	2.317e+00	-1.130e+00	2.450e-01	0.00979687084366346	1.444e-06	TRUE	0	4	0	5	7	0	0	0	17	3	6	10	14	25	7	12	0	8
Contig34681_11633	Contig34681	11633	18	1.768e-01	3.200e-01	7.059e-02	5.788e-06	9.382e-01	7.156e-02	3.845e+01	3.341e+01	-4.441e+00	1.505e+00	-9.142e-01	2.804e-01	0.0211899433643962	5.788e-06	TRUE	9	17	18	16	16	12	16	14	13	14	28	14	30	36	31	37	22	14
Contig36357_106	Contig36357	106	18	2.294e-01	-3.438e-01	8.051e-02	1.953e-05	7.737e-01	2.182e-01	1.475e+01	1.710e+01	7.808e+00	1.806e+00	1.787e+00	4.839e-01	0.042899750577746	1.953e-05	TRUE	17	15	16	17	7	13	18	20	19	35	32	18	29	25	21	23	23	24
Contig38771_2210	Contig38771	2210	18	2.644e-01	-3.056e-01	6.153e-02	6.796e-07	8.041e-01	2.183e-01	1.104e+01	1.679e+01	8.195e+00	1.164e+00	1.111e+00	3.708e-01	0.00979687084366346	6.796e-07	TRUE	16	16	22	16	12	11	14	17	14	35	33	17	30	26	21	29	33	22
Contig41866_1529	Contig41866	1529	18	2.595e-01	4.774e-01	1.130e-01	2.386e-05	7.689e-01	2.118e-01	1.282e+01	1.874e+01	-5.469e+00	2.143e+00	-7.368e-01	4.214e-01	0.0491353710054253	2.386e-05	TRUE	14	7	16	11	10	6	16	16	8	11	16	15	21	22	17	11	14	21
Contig46069_4427	Contig46069	4427	18	2.663e-01	3.356e-01	7.591e-02	9.804e-06	6.479e-01	2.906e-01	4.567e+00	1.050e+01	-2.613e+00	1.300e+00	-7.716e-01	3.463e-01	0.0304629565267195	9.804e-06	TRUE	14	20	26	23	18	18	29	22	24	47	33	22	41	45	41	41	35	26
Contig53276_4081	Contig53276	4081	18	2.286e-01	5.687e-01	1.191e-01	1.784e-06	6.337e-01	2.597e-01	9.664e+00	1.288e+01	-6.945e+00	2.026e+00	-1.543e+00	4.283e-01	0.00979687084366346	1.784e-06	TRUE	1	18	19	33	13	6	24	14	19	30	16	15	31	28	40	26	30	26
Contig53865_4076	Contig53865	4076	18	2.450e-01	1.994e-01	4.872e-02	4.259e-05	8.186e-01	1.830e-01	4.777e+00	6.699e+00	-1.187e+00	9.757e-01	-1.694e-01	2.436e-01	0.0738580474212226	4.259e-05	TRUE	28	21	23	15	15	19	33	26	26	47	66	17	45	51	63	62	65	38
Contig67368_5048	Contig67368	5048	18	1.623e-01	4.584e-01	1.070e-01	1.842e-05	8.804e-01	1.924e-01	6.033e+01	3.966e+01	-4.465e+00	2.405e+00	-2.667e+00	4.827e-01	0.042899750577746	1.842e-05	TRUE	22	11	13	21	10	13	13	16	11	0	0	5	11	7	25	17	11	0
