contig	locus	id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
Contig0	39226	Contig0_39226	18	4.289e-01	-2.737e-01	4.170e-01	0.5116	6.381e-01	2.731e-01	1.326e+00	3.023e+00	4.588e-01	6.230e-01
Contig0	39234	Contig0_39234	18	3.746e-01	5.508e-01	4.433e-01	0.2141	7.768e-01	2.115e-01	1.891e+00	3.583e+00	-1.285e+00	6.518e-01
Contig0	71523	Contig0_71523	18	2.534e-01	-1.875e+00	9.461e-01	0.0475	8.753e-01	1.745e-01	1.634e+01	2.211e+01	3.859e+00	1.286e+00
Contig0	71533	Contig0_71533	18	3.298e-01	-1.036e+00	1.210e+00	0.392	3.281e-01	1.746e-01	6.776e+00	7.041e+00	4.740e+00	1.408e+00
Contig0	71542	Contig0_71542	18	3.008e-01	-3.999e-01	9.777e-01	0.6825	6.610e-01	2.714e-01	4.150e+00	7.082e+00	4.123e+00	1.142e+00
Contig0	71546	Contig0_71546	18	2.103e-01	-4.611e-01	1.220e+00	0.7055	8.127e-01	1.465e-01	2.876e+01	2.880e+01	3.912e+00	1.584e+00
Contig0	71558	Contig0_71558	18	2.647e-01	-2.900e-01	1.013e+00	0.7747	6.906e-01	2.411e-01	6.928e+00	1.117e+01	3.835e+00	1.230e+00
Contig0	71617	Contig0_71617	18	2.855e-01	3.664e-01	6.483e-01	0.572	6.250e-01	2.785e-01	4.905e+00	1.150e+01	8.656e-01	9.464e-01
Contig0	71647	Contig0_71647	18	2.746e-01	5.317e-01	7.288e-01	0.4657	8.473e-01	1.814e-01	5.036e+00	6.911e+00	1.843e+00	9.809e-01
Contig0	71680	Contig0_71680	18	3.375e-01	1.365e-01	6.781e-01	0.8404	7.392e-01	2.362e-01	3.493e+00	8.413e+00	2.626e+00	9.061e-01
Contig0	71685	Contig0_71685	18	2.902e-01	-8.345e-02	7.386e-01	0.91	6.981e-01	2.403e-01	5.434e+00	1.045e+01	2.522e+00	1.004e+00
Contig0	71690	Contig0_71690	18	2.548e-01	-9.802e-01	9.881e-01	0.3212	6.433e-01	2.395e-01	5.546e+00	1.063e+01	4.111e+00	1.176e+00
Contig0	71699	Contig0_71699	18	2.274e-01	-9.866e-01	9.040e-01	0.2752	7.765e-01	1.848e-01	8.775e+00	1.404e+01	3.393e+00	1.184e+00
Contig0	71701	Contig0_71701	18	3.315e-01	1.026e-01	6.977e-01	0.8831	6.473e-01	2.789e-01	2.731e+00	5.034e+00	2.863e+00	9.807e-01
Contig100023	8119	Contig100023_8119	18	2.737e-01	1.046e-01	7.121e-01	0.8833	6.434e-01	2.256e-01	3.315e+00	4.900e+00	1.997e+00	9.176e-01
