gene,sig
Contig0.38973,0
Contig0.39226,0
Contig0.39234,0
Contig0.39252,0
Contig0.41234,0
Contig0.64124,0
Contig0.64179,0
Contig0.64210,0
Contig0.64217,0
Contig0.64238,0
Contig0.64253,0
Contig0.64309,0
Contig0.64353,0
Contig0.64369,0
Contig0.67238,0
Contig0.67248,0
Contig0.67276,0
Contig0.67928,0
Contig0.67937,0
Contig0.67949,0
Contig0.67975,0
Contig0.70375,0
Contig0.70403,0
Contig0.70411,0
Contig0.70422,0
Contig0.70435,0
Contig0.70445,0
Contig0.70475,0
Contig0.70491,0
Contig0.71488,0
Contig0.71491,0
Contig0.71502,0
Contig0.71523,0
Contig0.71533,0
Contig0.71542,0
Contig0.71546,0
Contig0.71558,0
Contig0.71563,0
Contig0.71617,0
Contig0.71647,0
Contig0.71667,0
Contig0.71680,0
Contig0.71685,0
Contig0.71690,0
Contig0.71699,0
Contig0.71701,0
Contig0.75756,0
Contig0.75852,0
Contig0.87323,0
Contig0.87704,0
Contig0.87710,0
Contig0.87715,0
Contig0.90923,0
Contig100292.19411,0
Contig100292.19514,0
Contig100335.2064,0
Contig100335.2081,0
Contig100335.2092,0
Contig100335.2107,0
Contig100335.2110,0
Contig100335.2112,0
Contig100335.2128,0
Contig100335.2149,0
Contig100335.2151,0
Contig100335.2160,0
Contig100335.2165,0
Contig100335.2176,0
Contig100335.2200,0
Contig100335.2213,0
Contig100335.2221,0
Contig100335.2244,0
Contig100.41213,0
Contig1006.11930,0
Contig1006.12007,0
Contig1006.12434,0
Contig1006.12439,0
Contig1006.12616,0
Contig1006.12643,0
Contig1006.12658,0
Contig1006.12705,0
Contig1006.12759,0
Contig1006.12773,0
Contig1006.12843,0
Contig1006.12880,0
Contig1006.9030,0
Contig1006.9037,0
Contig1006.9048,0
Contig1006.9065,0
Contig1006.9127,0
Contig100691.4794,0
Contig100691.4802,0
Contig100691.4813,0
Contig100691.7905,0
Contig100691.7953,0
Contig100691.7957,0
Contig100691.7980,0
Contig100691.7988,0
Contig100691.8009,0
Contig100691.8012,0
Contig100691.8019,0
Contig100691.8029,0
Contig100691.8054,0
Contig100691.8058,0
Contig100691.8092,0
Contig100691.8115,0
Contig100691.8203,0
Contig100691.8207,0
Contig1006.9222,0
Contig100994.2158,0
Contig100994.3004,0
Contig100994.3072,0
