id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig113403_874	Contig113403	874	18	3.617e-01	3.821e-01	8.759e-02	1.286e-05	6.787e-01	2.597e-01	3.066e+00	7.936e+00	-3.236e+00	1.602e+00	-7.952e-01	3.876e-01	0.0331721790933323	1.286e-05	TRUE	15	19	18	29	35	17	18	17	24	33	15	2	22	44	41	38	26	17
Contig1438_20471	Contig1438	20471	18	3.825e-01	3.262e-01	7.617e-02	1.853e-05	6.764e-01	2.713e-01	2.043e+00	6.420e+00	-3.124e+00	1.435e+00	-8.978e-01	2.532e-01	0.0368763651960507	1.853e-05	TRUE	17	18	9	18	14	16	19	16	15	14	14	17	20	24	23	30	19	16
Contig192358_539	Contig192358	539	18	1.532e-01	-3.523e-01	8.562e-02	3.88e-05	8.311e-01	5.161e-02	9.114e+01	3.024e+01	3.245e+00	2.422e+00	1.619e+00	3.017e-01	0.0581107533753053	3.88e-05	TRUE	16	7	18	18	11	10	19	15	17	26	42	9	34	35	30	36	20	25
Contig21533_2822	Contig21533	2822	18	2.723e-01	-5.311e-01	1.076e-01	8.066e-07	7.260e-01	2.270e-01	7.540e+00	1.176e+01	9.489e+00	1.886e+00	3.406e+00	7.234e-01	0.0078522904348296	8.066e-07	TRUE	16	14	19	19	15	14	25	13	17	16	25	18	30	30	40	34	21	14
Contig22963_1928	Contig22963	1928	18	2.676e-01	-4.699e-01	1.038e-01	6.043e-06	7.466e-01	2.456e-01	8.030e+00	1.266e+01	9.459e+00	1.796e+00	2.817e+00	5.834e-01	0.0294144502217179	6.043e-06	TRUE	24	16	20	27	15	16	26	19	20	28	13	17	29	31	21	33	26	28
Contig33119_17449	Contig33119	17449	18	1.675e-01	-3.545e-01	8.030e-02	1.01e-05	8.825e-01	1.641e-01	3.906e+01	3.314e+01	7.326e+00	1.831e+00	8.591e-01	2.579e-01	0.0331721790933323	1.01e-05	TRUE	16	20	26	24	12	15	19	23	28	36	41	10	17	28	31	30	31	14
Contig36958_14293	Contig36958	14293	18	2.491e-01	-2.768e-01	6.791e-02	4.581e-05	8.335e-01	1.849e-01	9.924e+00	1.595e+01	8.518e+00	1.557e+00	9.886e-01	3.185e-01	0.0637089413799624	4.581e-05	TRUE	20	15	28	29	17	18	21	19	30	49	33	29	38	37	36	34	32	37
Contig38252_11264	Contig38252	11264	18	1.876e-01	-6.385e-01	1.194e-01	8.87e-08	8.207e-01	1.009e-01	3.340e+01	2.872e+01	1.273e+01	2.564e+00	3.720e+00	7.639e-01	0.00172699767312022	8.87e-08	TRUE	31	19	36	27	23	19	26	24	35	51	48	20	51	46	53	50	34	33
Contig50682_6990	Contig50682	6990	18	1.662e-01	-4.462e-01	1.068e-01	2.95e-05	9.085e-01	8.474e-02	5.293e+01	3.468e+01	1.024e+01	2.292e+00	1.021e+00	4.040e-01	0.0478639903767818	2.95e-05	TRUE	13	13	19	10	11	14	15	17	15	16	34	11	27	29	23	35	26	16
Contig52612_2602	Contig52612	2602	18	3.242e-01	-2.742e-01	6.303e-02	1.363e-05	7.330e-01	2.434e-01	3.325e+00	6.419e+00	7.591e+00	1.236e+00	9.756e-01	3.376e-01	0.0331721790933323	1.363e-05	TRUE	33	18	20	28	16	14	21	34	28	22	52	10	27	42	53	40	44	16
Contig730_11771	Contig730	11771	18	2.682e-01	4.647e-01	1.064e-01	1.261e-05	6.714e-01	2.401e-01	1.555e+01	2.595e+01	-2.479e+00	2.238e+00	-1.760e+00	4.299e-01	0.0331721790933323	1.261e-05	TRUE	13	14	17	19	21	14	22	13	21	29	23	18	31	25	37	25	21	22
Contig81223_4171	Contig81223	4171	18	3.028e-01	-2.506e-01	5.860e-02	1.894e-05	7.536e-01	2.571e-01	7.532e+00	1.427e+01	6.391e+00	1.209e+00	1.160e+00	3.920e-01	0.0368763651960507	1.894e-05	TRUE	14	15	19	21	12	16	21	20	26	32	22	16	22	27	22	31	18	24
Contig84112_11608	Contig84112	11608	18	2.315e-01	3.868e-01	8.274e-02	2.95e-06	8.118e-01	1.924e-01	1.338e+01	2.089e+01	-2.095e+00	1.722e+00	-1.464e+00	3.897e-01	0.0191455961507127	2.95e-06	TRUE	24	25	25	28	19	13	31	19	26	29	23	22	37	35	38	34	23	27
Contig92609_4132	Contig92609	4132	18	2.327e-01	3.226e-01	7.635e-02	2.381e-05	8.293e-01	2.025e-01	9.542e+00	1.174e+01	-2.867e+00	1.298e+00	-6.142e-01	2.514e-01	0.0421439116500896	2.381e-05	TRUE	25	22	19	28	16	14	28	24	29	36	14	29	28	25	30	20	25	39
Contig9974_921	Contig9974	921	18	2.543e-01	4.217e-01	1.041e-01	5.103e-05	6.933e-01	2.387e-01	1.227e+01	1.962e+01	-3.589e+00	2.193e+00	-9.880e-01	3.635e-01	0.0662372726488725	5.103e-05	TRUE	15	20	19	21	13	13	22	18	16	31	25	9	23	26	28	28	21	21
