"Quant_Varia"	"contig_gene"	"start_gene"	"end_gene"	"Pst_Values"
"Contig0_10497_95068"	"Contig0"	"10497"	"95068"	0.0713071747411981
"Contig100188_1_4123"	"Contig100188"	"1"	"4123"	0.734354550239926
"Contig100396_1_4908"	"Contig100396"	"1"	"4908"	0.386420473706165
"Contig100994_1_8602"	"Contig100994"	"1"	"8602"	0.671301109780341
"Contig1013_14071_19514"	"Contig1013"	"14071"	"19514"	0.00299968644769849
"Contig1013_16204_21663"	"Contig1013"	"16204"	"21663"	0.0185808125776535
"Contig101333_3371_8675"	"Contig101333"	"3371"	"8675"	0.712270890827424
"Contig10144_1_8748"	"Contig10144"	"1"	"8748"	0.0660764257765902
"Contig101661_1_5354"	"Contig101661"	"1"	"5354"	0.324076228454813
"Contig1019_1_14598"	"Contig1019"	"1"	"14598"	0.139941677854939
"Contig102218_1_5898"	"Contig102218"	"1"	"5898"	0.155514078520653
"Contig1024_1_14330"	"Contig1024"	"1"	"14330"	0.920081192359534
"Contig102652_1_13706"	"Contig102652"	"1"	"13706"	0.0590695453096173
"Contig102838_1_3913"	"Contig102838"	"1"	"3913"	0.00506411827715763
"Contig103503_4845_9852"	"Contig103503"	"4845"	"9852"	0.619059209500151
"Contig10373_1_3003"	"Contig10373"	"1"	"3003"	0.709857136125453
"Contig104145_1_20373"	"Contig104145"	"1"	"20373"	0.464154743423878
"Contig104545_1_4483"	"Contig104545"	"1"	"4483"	0.514987925238547
"Contig1046_21846_28666"	"Contig1046"	"21846"	"28666"	0.0326972022205092
"Contig104643_1_11629"	"Contig104643"	"1"	"11629"	0.666647437498246
"Contig1050_4735_27978"	"Contig1050"	"4735"	"27978"	0.0342978579100906
"Contig105417_1_4126"	"Contig105417"	"1"	"4126"	0.541651650261083
"Contig1059_21816_34578"	"Contig1059"	"21816"	"34578"	0.193160453800925
"Contig10592_1_1534"	"Contig10592"	"1"	"1534"	0.0159431993537778
"Contig107063_1_3781"	"Contig107063"	"1"	"3781"	0.274669293617141
"Contig107370_1_3334"	"Contig107370"	"1"	"3334"	0.00504958047268787
"Contig1074_10351_18003"	"Contig1074"	"10351"	"18003"	0.579494970871852
"Contig107460_1_21055"	"Contig107460"	"1"	"21055"	0.250862685184786
"Contig107546_1409_5682"	"Contig107546"	"1409"	"5682"	0.361202766357195
"Contig107704_2930_14124"	"Contig107704"	"2930"	"14124"	0.00327929137566085
"Contig107704_6616_14124"	"Contig107704"	"6616"	"14124"	0.00327929137566085
"Contig107764_2194_10917"	"Contig107764"	"2194"	"10917"	0.731770600521832
"Contig108499_1_11878"	"Contig108499"	"1"	"11878"	0.776571509221031
"Contig10862_1_7470"	"Contig10862"	"1"	"7470"	0.557274859355851
"Contig109515_799_11518"	"Contig109515"	"799"	"11518"	0.48121709984511
"Contig1098_1_16178"	"Contig1098"	"1"	"16178"	0.0438717406570076
"Contig1098_14148_30251"	"Contig1098"	"14148"	"30251"	0.00840280182892558
"Contig11_1_46900"	"Contig11"	"1"	"46900"	0.141825793171967
"Contig11177_1_4997"	"Contig11177"	"1"	"4997"	0.242600756299714
"Contig11192_1_6078"	"Contig11192"	"1"	"6078"	0.478248673119212
"Contig112314_1_1320"	"Contig112314"	"1"	"1320"	0.29194425361849
"Contig112389_1_11317"	"Contig112389"	"1"	"11317"	0.193039360449738
"Contig1125_1_18943"	"Contig1125"	"1"	"18943"	0.225833255842016
"Contig1127_658_20089"	"Contig1127"	"658"	"20089"	0.0645636244179276
"Contig112833_1_6669"	"Contig112833"	"1"	"6669"	0.623397310073997
"Contig112932_1_4683"	"Contig112932"	"1"	"4683"	0.315090962152107
"Contig112997_1027_9370"	"Contig112997"	"1027"	"9370"	0.301840207185109
"Contig113403_1_5182"	"Contig113403"	"1"	"5182"	0.51963646781983
"Contig1135_9509_16856"	"Contig1135"	"9509"	"16856"	0.697134317705045
"Contig116_31518_59247"	"Contig116"	"31518"	"59247"	0.849750902862197
"Contig116303_1_8738"	"Contig116303"	"1"	"8738"	0.126950073014933
"Contig1167_1_30793"	"Contig1167"	"1"	"30793"	0.0809762094281254
"Contig1181_1_5712"	"Contig1181"	"1"	"5712"	0.636776182188577
"Contig118194_685_6006"	"Contig118194"	"685"	"6006"	0.0727239082737562
"Contig118291_9073_12773"	"Contig118291"	"9073"	"12773"	0.19225850860921
"Contig118510_306_4868"	"Contig118510"	"306"	"4868"	0.00381110331077278
"Contig1194_1_37854"	"Contig1194"	"1"	"37854"	0.558520067961951
"Contig1194_20552_37854"	"Contig1194"	"20552"	"37854"	0.558520067961951
"Contig1195_1_32091"	"Contig1195"	"1"	"32091"	0.0202862035280833
"Contig1197_3475_31925"	"Contig1197"	"3475"	"31925"	0.347097298500353
"Contig119778_1_3941"	"Contig119778"	"1"	"3941"	0.0336874558390757
"Contig11982_1_3275"	"Contig11982"	"1"	"3275"	0.0862500426236223
"Contig120547_1_5786"	"Contig120547"	"1"	"5786"	0.128529478398228
"Contig121_3524_29546"	"Contig121"	"3524"	"29546"	0.208690635616899
"Contig121261_1_1758"	"Contig121261"	"1"	"1758"	0.237803388518667
"Contig121347_1_7489"	"Contig121347"	"1"	"7489"	0.0259042757634863
"Contig12163_1_2519"	"Contig12163"	"1"	"2519"	0.666742773909288
"Contig122_23639_43919"	"Contig122"	"23639"	"43919"	0.535346616053879
"Contig1221_1_34027"	"Contig1221"	"1"	"34027"	0.0838919390727754
"Contig122273_1_2156"	"Contig122273"	"1"	"2156"	0.359293923939156
"Contig1224_1_28530"	"Contig1224"	"1"	"28530"	0.00113204321592872
"Contig1240_211_26784"	"Contig1240"	"211"	"26784"	0.000522716130883581
"Contig124397_545_8139"	"Contig124397"	"545"	"8139"	0.470977821245999
"Contig1245_741_11854"	"Contig1245"	"741"	"11854"	0.821449731857408
"Contig1269_1_13515"	"Contig1269"	"1"	"13515"	0.149205998292945
"Contig128000_1_12648"	"Contig128000"	"1"	"12648"	0.0718729832194941
"Contig128375_1_8792"	"Contig128375"	"1"	"8792"	0.561638618749211
"Contig128973_10427_14821"	"Contig128973"	"10427"	"14821"	0.0595792175076959
"Contig129243_3484_11215"	"Contig129243"	"3484"	"11215"	0.0857576213493117
"Contig129243_8630_12065"	"Contig129243"	"8630"	"12065"	0.237858272498905
"Contig129473_825_16665"	"Contig129473"	"825"	"16665"	0.00594263429421488
"Contig1297_43241_67699"	"Contig1297"	"43241"	"67699"	0.794940297796279
"Contig132_32181_65469"	"Contig132"	"32181"	"65469"	0.534919241800586
"Contig133793_1_1325"	"Contig133793"	"1"	"1325"	0.673209246712597
"Contig135245_1_1843"	"Contig135245"	"1"	"1843"	0.181466915820472
"Contig137636_1_3514"	"Contig137636"	"1"	"3514"	0.0536171903887293
"Contig138_8921_13757"	"Contig138"	"8921"	"13757"	0.564886857624272
"Contig138707_1_7387"	"Contig138707"	"1"	"7387"	0.512942188528184
"Contig139928_1_3225"	"Contig139928"	"1"	"3225"	0.517805596782367
"Contig1410_1_16734"	"Contig1410"	"1"	"16734"	0.0131796417875697
"Contig1414_1_23508"	"Contig1414"	"1"	"23508"	0.893114117667941
"Contig1414_10936_39853"	"Contig1414"	"10936"	"39853"	0.893114117667941
"Contig143_5740_25511"	"Contig143"	"5740"	"25511"	0.806622848679845
"Contig1433_1_13800"	"Contig1433"	"1"	"13800"	0.118020507643659
"Contig1436_5001_15304"	"Contig1436"	"5001"	"15304"	0.00227677408417947
"Contig143783_1_11762"	"Contig143783"	"1"	"11762"	0.0206090391648379
"Contig144059_1_14060"	"Contig144059"	"1"	"14060"	0.0316709876715982
"Contig144141_1_3639"	"Contig144141"	"1"	"3639"	0.886702526860777
