"","contig","start","end","HC.1x.count","SS.1x.count","HC.meanmeth","SS.meanmeth","HC.5x.count","SS.5x.count","start.gene","end.gene","attribute","ID","Note","Ontology_term","SPID"
"1","Contig102240",6406,6406,1,9,100,90.734126984127,1,8,2564,11045,"ID=OLUR_00019820;Name=OLUR_00019820;Alias=maker-Contig102240-snap-gene-0.2;Note=Similar to Lrrk2: Leucine-rich repeat serine/threonine-protein kinase 2 (Mus musculus OX%3D10090);SPID=Q5S006;","ID=OLUR_00019820;","Note=Similar to Lrrk2: Leucine-rich repeat serine/threonine-protein kinase 2 (Mus musculus OX%3D10090);",NA,"Q5S006"
"2","Contig130124",984,984,2,9,NA,95.5515027648486,0,7,540,5086,"ID=OLUR_00027674;Name=OLUR_00027674;Alias=maker-Contig130124-snap-gene-0.2;Note=Similar to DOP1A: Protein dopey-1 (Homo sapiens OX%3D9606);Dbxref=MobiDBLite:mobidb-lite;SPID=Q5JWR5;","ID=OLUR_00027674;","Note=Similar to DOP1A: Protein dopey-1 (Homo sapiens OX%3D9606);",NA,"Q5JWR5"
"3","Contig130124",984,984,2,9,NA,95.5515027648486,0,7,1,3861,"ID=OLUR_00027673;Name=OLUR_00027673;Alias=maker-Contig130124-snap-gene-0.1;Note=Similar to Dop1a: Protein dopey-1 (Mus musculus OX%3D10090);SPID=Q8BL99;","ID=OLUR_00027673;","Note=Similar to Dop1a: Protein dopey-1 (Mus musculus OX%3D10090);",NA,"Q8BL99"
"4","Contig131935",799,799,0,8,NA,94.7379742410798,0,7,465,11059,"ID=OLUR_00013112;Name=OLUR_00013112;Alias=maker-Contig131935-snap-gene-0.2;Note=Similar to IARS2: Isoleucine--tRNA ligase%2C mitochondrial (Gallus gallus OX%3D9031);Dbxref=Gene3D:G3DSA:3.40.50.620,Gene3D:G3DSA:3.90.740.10,InterPro:IPR002300,InterPro:IPR009008,InterPro:IPR014729,Pfam:PF00133,SUPERFAMILY:SSF50677,SUPERFAMILY:SSF52374;Ontology_term=GO:0000166,GO:0002161,GO:0004812,GO:0005524,GO:0006418;SPID=Q5ZKA2;","ID=OLUR_00013112;","Note=Similar to IARS2: Isoleucine--tRNA ligase%2C mitochondrial (Gallus gallus OX%3D9031);","Ontology_term=GO:0000166,GO:0002161,GO:0004812,GO:0005524,GO:0006418;","Q5ZKA2"
"5","Contig14",21403,21403,2,9,100,93.4380570409982,2,8,10706,48999,"ID=OLUR_00000475;Name=OLUR_00000475;Alias=maker-Contig14-snap-gene-0.5;Note=Similar to KIAA0825: Uncharacterized protein KIAA0825 (Homo sapiens OX%3D9606);Dbxref=InterPro:IPR027993,MobiDBLite:mobidb-lite,Pfam:PF14906;SPID=Q8IV33;","ID=OLUR_00000475;","Note=Similar to KIAA0825: Uncharacterized protein KIAA0825 (Homo sapiens OX%3D9606);",NA,"Q8IV33"
"6","Contig16140",5710,5710,2,9,100,100,2,9,1,9079,"ID=OLUR_00019849;Name=OLUR_00019849;Alias=maker-Contig16140-snap-gene-0.3;Note=Similar to TMEM199: Transmembrane protein 199 (Pongo abelii OX%3D9601);Dbxref=Coils:Coil,InterPro:IPR021013,Pfam:PF11712;Ontology_term=GO:0070072;SPID=Q5RAS8;","ID=OLUR_00019849;","Note=Similar to TMEM199: Transmembrane protein 199 (Pongo abelii OX%3D9601);","Ontology_term=GO:0070072;","Q5RAS8"
"7","Contig16140",5720,5720,2,9,NA,96.0164835164835,0,7,1,9079,"ID=OLUR_00019849;Name=OLUR_00019849;Alias=maker-Contig16140-snap-gene-0.3;Note=Similar to TMEM199: Transmembrane protein 199 (Pongo abelii OX%3D9601);Dbxref=Coils:Coil,InterPro:IPR021013,Pfam:PF11712;Ontology_term=GO:0070072;SPID=Q5RAS8;","ID=OLUR_00019849;","Note=Similar to TMEM199: Transmembrane protein 199 (Pongo abelii OX%3D9601);","Ontology_term=GO:0070072;","Q5RAS8"
"8","Contig16791",4630,4630,2,9,100,93.1547619047619,1,7,1,9996,"ID=OLUR_00015408;Name=OLUR_00015408;Alias=maker-Contig16791-snap-gene-0.1;Note=Similar to Polk: DNA polymerase kappa (Mus musculus OX%3D10090);Dbxref=CDD:cd03586,Gene3D:G3DSA:3.30.1490.100,Hamap:MF_01113,InterPro:IPR001126,InterPro:IPR006642,InterPro:IPR017961,InterPro:IPR022880,InterPro:IPR036775,MobiDBLite:mobidb-lite,PIRSF:PIRSF036603,Pfam:PF00817,Pfam:PF11799,ProSiteProfiles:PS50173,SMART:SM00734,SUPERFAMILY:SSF100879,SUPERFAMILY:SSF56672;Ontology_term=GO:0003677,GO:0003684,GO:0003887,GO:0006281;SPID=Q9QUG2;","ID=OLUR_00015408;","Note=Similar to Polk: DNA polymerase kappa (Mus musculus OX%3D10090);","Ontology_term=GO:0003677,GO:0003684,GO:0003887,GO:0006281;","Q9QUG2"
"9","Contig16791",4639,4639,2,9,100,95.6272893772894,1,7,1,9996,"ID=OLUR_00015408;Name=OLUR_00015408;Alias=maker-Contig16791-snap-gene-0.1;Note=Similar to Polk: DNA polymerase kappa (Mus musculus OX%3D10090);Dbxref=CDD:cd03586,Gene3D:G3DSA:3.30.1490.100,Hamap:MF_01113,InterPro:IPR001126,InterPro:IPR006642,InterPro:IPR017961,InterPro:IPR022880,InterPro:IPR036775,MobiDBLite:mobidb-lite,PIRSF:PIRSF036603,Pfam:PF00817,Pfam:PF11799,ProSiteProfiles:PS50173,SMART:SM00734,SUPERFAMILY:SSF100879,SUPERFAMILY:SSF56672;Ontology_term=GO:0003677,GO:0003684,GO:0003887,GO:0006281;SPID=Q9QUG2;","ID=OLUR_00015408;","Note=Similar to Polk: DNA polymerase kappa (Mus musculus OX%3D10090);","Ontology_term=GO:0003677,GO:0003684,GO:0003887,GO:0006281;","Q9QUG2"
"10","Contig23413",14891,14891,0,9,NA,96.2261904761905,0,8,1,15589,"ID=OLUR_00011654;Name=OLUR_00011654;Alias=maker-Contig23413-snap-gene-0.4;Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);Dbxref=Pfam:PF12698;SPID=Q8R420;","ID=OLUR_00011654;","Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);",NA,"Q8R420"
