contig_gene,start_gene,end_gene,notes_gene,pval.treatment,adj.pval.pop,ID,Parent,Name,Alias,AED,eAED,Note,Ontology_term,Dbxref
Contig0,10497,95068,"ID=OLUR_00000039;Name=OLUR_00000039;Alias=maker-Contig0-snap-gene-0.8;Note=Similar to WDR87: WD repeat-containing protein 87 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,Gene3D:G3DSA:1.25.10.10,Gene3D:G3DSA:2.130.10.10,InterPro:IPR001680,InterPro:IPR011989,InterPro:IPR015943,InterPro:IPR016024,InterPro:IPR017986,InterPro:IPR036322,MobiDBLite:mobidb-lite,Pfam:PF00400,ProSiteProfiles:PS50082,ProSiteProfiles:PS50294,SMART:SM00320,SUPERFAMILY:SSF48371,SUPERFAMILY:SSF50978;Ontology_term=GO:0005515;",4.0686629854680764e-5,4.6568754056528893e-4,ID=OLUR_00000039;,NA,Name=OLUR_00000039;,Alias=maker-Contig0-snap-gene-0.8;,NA,NA,Note=Similar to WDR87: WD repeat-containing protein 87 (Homo sapiens OX%3D9606);,Ontology_term=GO:0005515;,"Dbxref=Coils:Coil,Gene3D:G3DSA:1.25.10.10,Gene3D:G3DSA:2.130.10.10,InterPro:IPR001680,InterPro:IPR011989,InterPro:IPR015943,InterPro:IPR016024,InterPro:IPR017986,InterPro:IPR036322,MobiDBLite:mobidb-lite,Pfam:PF00400,ProSiteProfiles:PS50082,ProSiteProfiles:PS50294,SMART:SM00320,SUPERFAMILY:SSF48371,SUPERFAMILY:SSF50978;"
Contig1024,1,14330,"ID=OLUR_00016188;Name=OLUR_00016188;Alias=maker-Contig1024-snap-gene-0.1;Note=Similar to lig1: DNA ligase 1 (Xenopus laevis OX%3D8355);Dbxref=CDD:cd07900,CDD:cd07969,Gene3D:G3DSA:2.40.50.140,Gene3D:G3DSA:3.30.470.30,InterPro:IPR012309,InterPro:IPR012310,InterPro:IPR012340,InterPro:IPR016059,MobiDBLite:mobidb-lite,Pfam:PF01068,Pfam:PF04679,ProSitePatterns:PS00333,ProSiteProfiles:PS50160,SUPERFAMILY:SSF50249,SUPERFAMILY:SSF56091;Ontology_term=GO:0003909,GO:0003910,GO:0005524,GO:0006281,GO:0006310,GO:0051103;",0.011360171210371691,0.04943926764665833,ID=OLUR_00016188;,NA,Name=OLUR_00016188;,Alias=maker-Contig1024-snap-gene-0.1;,NA,NA,Note=Similar to lig1: DNA ligase 1 (Xenopus laevis OX%3D8355);,"Ontology_term=GO:0003909,GO:0003910,GO:0005524,GO:0006281,GO:0006310,GO:0051103;","Dbxref=CDD:cd07900,CDD:cd07969,Gene3D:G3DSA:2.40.50.140,Gene3D:G3DSA:3.30.470.30,InterPro:IPR012309,InterPro:IPR012310,InterPro:IPR012340,InterPro:IPR016059,MobiDBLite:mobidb-lite,Pfam:PF01068,Pfam:PF04679,ProSitePatterns:PS00333,ProSiteProfiles:PS50160,SUPERFAMILY:SSF50249,SUPERFAMILY:SSF56091;"
Contig1074,10351,18003,"ID=OLUR_00012878;Name=OLUR_00012878;Alias=maker-Contig1074-snap-gene-0.3;Note=Similar to Huwe1: E3 ubiquitin-protein ligase HUWE1 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",5.612149752229614e-4,0.004630746015948884,ID=OLUR_00012878;,NA,Name=OLUR_00012878;,Alias=maker-Contig1074-snap-gene-0.3;,NA,NA,Note=Similar to Huwe1: E3 ubiquitin-protein ligase HUWE1 (Mus musculus OX%3D10090);,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig108499,1,11878,"ID=OLUR_00012327;Name=OLUR_00012327;Alias=maker-Contig108499-snap-gene-0.6;Note=Protein of unknown function;Dbxref=Coils:Coil,InterPro:IPR007940,MobiDBLite:mobidb-lite,Pfam:PF05276;Ontology_term=GO:0035556;",0.0019443312543543597,0.01206660109208918,ID=OLUR_00012327;,NA,Name=OLUR_00012327;,Alias=maker-Contig108499-snap-gene-0.6;,NA,NA,Note=Protein of unknown function;,Ontology_term=GO:0035556;,"Dbxref=Coils:Coil,InterPro:IPR007940,MobiDBLite:mobidb-lite,Pfam:PF05276;"
Contig1181,1,5712,"ID=OLUR_00011066;Name=OLUR_00011066;Alias=maker-Contig1181-snap-gene-0.3;Note=Similar to jing: Zinc finger protein jing (Drosophila melanogaster OX%3D7227);Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,ProSitePatterns:PS00028,SMART:SM00355,SUPERFAMILY:SSF57667;Ontology_term=GO:0003676;",1.0322407463964793e-7,2.323121589923762e-6,ID=OLUR_00011066;,NA,Name=OLUR_00011066;,Alias=maker-Contig1181-snap-gene-0.3;,NA,NA,Note=Similar to jing: Zinc finger protein jing (Drosophila melanogaster OX%3D7227);,Ontology_term=GO:0003676;,"Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,ProSitePatterns:PS00028,SMART:SM00355,SUPERFAMILY:SSF57667;"
Contig122273,1,2156,"ID=OLUR_00031217;Name=OLUR_00031217;Alias=snap_masked-Contig122273-processed-gene-0.0;Note=Similar to ZNF227: Zinc finger protein 227 (Bos taurus OX%3D9913);Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;Ontology_term=GO:0003676;",0.0013247757001274944,0.008786660192731154,ID=OLUR_00031217;,NA,Name=OLUR_00031217;,Alias=snap_masked-Contig122273-processed-gene-0.0;,NA,NA,Note=Similar to ZNF227: Zinc finger protein 227 (Bos taurus OX%3D9913);,Ontology_term=GO:0003676;,"Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;"
Contig128000,1,12648,"ID=OLUR_00017934;Name=OLUR_00017934;Alias=maker-Contig128000-snap-gene-0.2;Note=Protein of unknown function;Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",0.0023290835781417346,0.01365395327987153,ID=OLUR_00017934;,NA,Name=OLUR_00017934;,Alias=maker-Contig128000-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig1297,43241,67699,"ID=OLUR_00000648;Name=OLUR_00000648;Alias=maker-Contig1297-snap-gene-0.12;Note=Similar to FHOD3: FH1/FH2 domain-containing protein 3 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,Gene3D:G3DSA:1.20.58.2220,InterPro:IPR015425,MobiDBLite:mobidb-lite,Pfam:PF02181,ProSiteProfiles:PS51444,SMART:SM00498,SUPERFAMILY:SSF101447;",6.840927882050721e-10,1.773770685792569e-8,ID=OLUR_00000648;,NA,Name=OLUR_00000648;,Alias=maker-Contig1297-snap-gene-0.12;,NA,NA,Note=Similar to FHOD3: FH1/FH2 domain-containing protein 3 (Homo sapiens OX%3D9606);,NA,"Dbxref=Coils:Coil,Gene3D:G3DSA:1.20.58.2220,InterPro:IPR015425,MobiDBLite:mobidb-lite,Pfam:PF02181,ProSiteProfiles:PS51444,SMART:SM00498,SUPERFAMILY:SSF101447;"
Contig132,32181,65469,"ID=OLUR_00000728;Name=OLUR_00000728;Alias=maker-Contig132-snap-gene-0.13;Note=Similar to TDRD12: Putative ATP-dependent RNA helicase TDRD12 (Homo sapiens OX%3D9606);Dbxref=CDD:cd04508,Gene3D:G3DSA:2.30.30.140,Gene3D:G3DSA:2.40.50.90,Gene3D:G3DSA:3.40.50.300,InterPro:IPR000571,InterPro:IPR002999,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR027417,InterPro:IPR035437,Pfam:PF00270,Pfam:PF00567,ProSiteProfiles:PS50103,ProSiteProfiles:PS50304,ProSiteProfiles:PS51192,SMART:SM00333,SMART:SM00487,SUPERFAMILY:SSF52540,SUPERFAMILY:SSF63748;Ontology_term=GO:0003676,GO:0005524,GO:0046872;",0.0058794461561378995,0.02940457091321901,ID=OLUR_00000728;,NA,Name=OLUR_00000728;,Alias=maker-Contig132-snap-gene-0.13;,NA,NA,Note=Similar to TDRD12: Putative ATP-dependent RNA helicase TDRD12 (Homo sapiens OX%3D9606);,"Ontology_term=GO:0003676,GO:0005524,GO:0046872;","Dbxref=CDD:cd04508,Gene3D:G3DSA:2.30.30.140,Gene3D:G3DSA:2.40.50.90,Gene3D:G3DSA:3.40.50.300,InterPro:IPR000571,InterPro:IPR002999,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR027417,InterPro:IPR035437,Pfam:PF00270,Pfam:PF00567,ProSiteProfiles:PS50103,ProSiteProfiles:PS50304,ProSiteProfiles:PS51192,SMART:SM00333,SMART:SM00487,SUPERFAMILY:SSF52540,SUPERFAMILY:SSF63748;"
Contig133793,1,1325,"ID=OLUR_00031974;Name=OLUR_00031974;Alias=maker-Contig133793-snap-gene-0.1;Note=Similar to Lar: Tyrosine-protein phosphatase Lar (Drosophila melanogaster OX%3D7227);Dbxref=CDD:cd00063,Gene3D:G3DSA:2.60.40.10,InterPro:IPR003961,InterPro:IPR013783,InterPro:IPR036116,PRINTS:PR00014,Pfam:PF00041,ProSiteProfiles:PS50853,SUPERFAMILY:SSF49265;Ontology_term=GO:0005515;",5.643316810499457e-5,6.306032675832867e-4,ID=OLUR_00031974;,NA,Name=OLUR_00031974;,Alias=maker-Contig133793-snap-gene-0.1;,NA,NA,Note=Similar to Lar: Tyrosine-protein phosphatase Lar (Drosophila melanogaster OX%3D7227);,Ontology_term=GO:0005515;,"Dbxref=CDD:cd00063,Gene3D:G3DSA:2.60.40.10,InterPro:IPR003961,InterPro:IPR013783,InterPro:IPR036116,PRINTS:PR00014,Pfam:PF00041,ProSiteProfiles:PS50853,SUPERFAMILY:SSF49265;"
