id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18
Contig1054173286	18	2.926e-01	4.986e-01	1.054e-01	2.237e-06	7.040e-01	2.439e-01	7.871e+00	1.225e+01	-3.424e+00	2.191e+00	-1.542e+00	4.904e-01	0.0155048076567364	2.237e-06	TRUE	Contig105417	3286	3286	+	16	14	2	12	12	0	7	7	0	10	10	0	6	6	0	10	10	0	9	9	0	10	9	1	16	15	1	9	9	0	5	5	0	9	8	1	15	15	0	19	19	0	19	19	0	20	20	0	15	15	0	14	12	2
Contig109628199	18	2.832e-01	4.911e-01	1.216e-01	5.387e-05	7.224e-01	2.429e-01	1.071e+01	1.657e+01	-6.054e+00	2.291e+00	-3.527e-01	6.728e-01	0.0788537096929663	5.387e-05	TRUE	Contig1096	28199	28199	+	11	9	2	10	9	1	9	9	0	10	10	0	7	7	0	5	5	0	13	12	1	8	8	0	8	6	2	5	5	0	6	6	0	5	5	0	11	11	0	12	12	0	9	9	0	18	18	0	11	10	1	11	11	0
Contig1102783989	18	2.859e-01	5.282e-01	1.201e-01	1.098e-05	7.375e-01	2.446e-01	8.995e+00	1.343e+01	-4.223e+00	2.274e+00	-1.286e+00	4.032e-01	0.0385875220872697	1.098e-05	TRUE	Contig110278	3989	3989	+	18	16	2	12	12	0	8	8	0	13	13	0	13	13	0	11	11	0	12	11	1	12	12	0	15	14	1	17	16	1	3	3	0	14	13	1	9	9	0	10	9	1	10	10	0	9	9	0	13	13	0	16	15	1
Contig110906429	18	2.612e-01	3.133e-01	6.290e-02	6.351e-07	7.652e-01	2.335e-01	1.004e+01	1.669e+01	-1.510e+00	1.214e+00	-9.761e-01	2.726e-01	0.00734378563982863	6.351e-07	TRUE	Contig110906	429	429	+	13	10	3	29	27	2	32	32	0	31	30	1	21	21	0	16	15	1	31	29	2	32	32	0	21	19	2	20	19	1	34	33	1	14	14	0	29	28	1	32	32	0	24	24	0	33	32	1	35	33	2	36	33	3
Contig110927764	18	2.641e-01	3.686e-01	8.833e-02	3.001e-05	7.198e-01	2.510e-01	9.976e+00	1.544e+01	-2.992e+00	1.735e+00	-1.055e+00	3.935e-01	0.0580469205366815	3.001e-05	TRUE	Contig11092	7764	7764	+	10	4	6	17	16	1	13	12	1	14	14	0	18	18	0	9	9	0	13	11	2	19	13	6	18	16	2	5	5	0	5	5	0	20	18	2	16	15	1	17	17	0	7	7	0	8	7	1	10	10	0	16	14	2
Contig111772433	18	2.891e-01	-4.404e-01	1.012e-01	1.355e-05	7.636e-01	2.278e-01	7.196e+00	1.415e+01	7.664e+00	1.741e+00	2.855e+00	5.831e-01	0.0416966600016246	1.355e-05	TRUE	Contig11177	2433	2433	+	13	13	0	16	15	1	14	13	1	16	15	1	12	10	2	8	7	1	17	16	1	14	14	0	16	16	0	15	15	0	17	17	0	11	10	1	21	20	1	24	24	0	25	22	3	22	21	1	19	18	1	17	17	0
Contig1118734850	18	2.512e-01	6.613e-01	1.548e-01	1.929e-05	7.705e-01	2.083e-01	1.942e+01	2.829e+01	-6.436e+00	2.592e+00	-1.788e+00	5.418e-01	0.0479550957552244	1.929e-05	TRUE	Contig111873	4850	4850	+	16	11	5	10	10	0	9	9	0	6	6	0	3	3	0	2	2	0	15	14	1	13	13	0	14	13	1	3	3	0	14	14	0	6	3	3	20	19	1	31	31	0	27	27	0	19	19	0	18	18	0	8	4	4
Contig1129975372	18	2.600e-01	-3.496e-01	8.085e-02	1.534e-05	7.939e-01	2.275e-01	1.590e+01	2.451e+01	5.814e+00	1.666e+00	2.637e+00	4.261e-01	0.04450715233419	1.534e-05	TRUE	Contig112997	5372	5372	+	17	17	0	23	23	0	22	22	0	19	18	1	15	14	1	9	9	0	23	23	0	17	17	0	22	20	2	33	32	1	40	40	0	16	16	0	33	31	2	33	30	3	47	45	2	34	32	2	37	34	3	25	25	0
Contig11310801	18	2.104e-01	7.822e-01	1.861e-01	2.63e-05	8.484e-01	1.318e-01	6.841e+01	4.081e+01	-6.858e+00	4.023e+00	-3.085e+00	9.503e-01	0.0548525023671936	2.63e-05	TRUE	Contig113	10801	10801	+	7	5	2	4	4	0	2	2	0	4	4	0	4	4	0	2	2	0	3	3	0	8	7	1	10	7	3	4	4	0	3	3	0	3	3	0	6	6	0	3	3	0	5	5	0	2	2	0	4	3	1	4	3	1
Contig113403874	18	3.295e-01	3.111e-01	7.252e-02	1.79e-05	6.518e-01	2.676e-01	3.273e+00	8.254e+00	-2.396e+00	1.242e+00	-5.325e-01	3.977e-01	0.0479550957552244	1.79e-05	TRUE	Contig113403	874	874	+	15	13	2	19	17	2	18	18	0	29	28	1	35	34	1	17	17	0	18	17	1	17	16	1	24	22	2	33	30	3	15	15	0	2	2	0	22	22	0	44	42	2	41	41	0	38	38	0	26	26	0	17	16	1
