siteID	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig0_39226	21	22	22	23	23	21	20	16	31	17	0	23	17	10	20	13	19	24
Contig0_39234	24	27	27	26	28	25	23	24	36	19	0	29	19	12	25	17	23	32
Contig0_71523	13	12	11	18	10	0	11	10	16	23	18	11	26	21	31	21	17	18
Contig0_71533	17	17	14	17	17	13	17	18	19	22	22	17	30	21	34	21	17	23
Contig0_71542	16	21	12	14	13	12	20	12	13	16	19	12	33	22	31	21	12	22
Contig0_71546	14	17	11	12	11	13	19	12	11	15	15	11	29	19	28	18	12	17
Contig0_71558	17	17	10	16	11	0	21	11	14	23	20	16	27	25	27	23	20	19
Contig0_71617	19	18	19	20	17	0	22	19	22	21	19	17	21	22	28	21	22	17
Contig0_71647	17	14	13	17	12	10	17	24	22	13	22	13	14	21	35	35	23	16
Contig0_71680	13	11	16	15	16	0	14	12	16	21	14	23	32	34	19	33	17	18
Contig0_71685	15	12	15	16	17	0	16	14	20	26	19	24	29	32	18	24	21	18
Contig0_71690	16	14	16	17	19	10	18	16	24	27	21	22	19	27	21	35	23	16
Contig0_71699	14	14	13	17	15	0	15	13	19	24	20	21	22	31	24	22	22	15
Contig0_71701	14	16	12	16	15	0	17	12	16	26	19	23	23	33	36	21	24	14
Contig100023_8119	13	13	13	12	0	10	10	11	15	20	0	11	22	34	42	10	10	21
Contig100117_1003	16	11	12	15	13	0	18	12	13	15	17	11	20	34	20	10	25	20
Contig100137_22	16	10	18	20	11	10	22	13	21	14	22	18	22	21	22	26	17	17
Contig100137_27	16	10	20	22	11	13	24	15	24	18	25	20	25	25	22	24	18	15
Contig100137_122	35	36	43	45	33	17	49	30	49	34	43	40	46	69	53	48	40	47
Contig100137_144	22	15	36	32	19	0	33	16	32	20	22	30	36	49	36	30	35	20
Contig100137_157	26	25	41	32	21	11	41	26	31	33	39	37	33	53	47	34	37	20
Contig100137_197	13	22	33	31	10	0	33	12	39	15	38	25	36	45	30	34	19	28
Contig100139_807	25	30	28	28	28	21	35	26	31	50	37	36	43	42	47	34	49	42
Contig100139_835	42	46	40	43	37	19	51	31	49	60	55	30	66	53	54	59	59	53
Contig100139_896	39	35	47	43	26	42	51	44	52	59	49	49	56	56	58	51	53	53
Contig100164_505	10	0	18	11	13	10	21	15	24	36	13	10	14	12	27	14	28	14
Contig100164_509	11	0	19	12	14	11	22	15	24	40	13	10	14	10	18	15	17	14
Contig100164_1018	14	10	17	31	11	10	28	23	33	29	0	23	32	42	34	26	31	34
Contig100164_1026	21	15	22	27	14	20	25	21	29	32	14	30	41	30	42	22	35	32
Contig100164_1037	26	20	26	35	14	21	33	26	32	37	14	28	34	39	37	28	32	38
Contig100188_606	16	14	13	18	15	12	13	17	17	0	10	12	33	17	26	16	19	16
Contig100188_613	19	16	13	19	16	12	16	17	18	10	13	0	36	22	32	16	19	18
Contig100188_616	15	13	14	18	13	0	17	14	17	0	12	10	35	17	25	16	15	13
Contig100199_24194	10	0	11	24	10	12	14	13	13	32	33	0	33	16	27	35	28	28
Contig100231_3835	10	10	12	15	11	10	15	15	25	30	36	13	41	42	42	44	18	14
Contig100231_3858	12	12	12	15	10	0	36	32	28	39	39	10	43	47	48	53	38	23
Contig100231_3862	23	21	20	13	10	0	37	30	10	36	38	0	45	49	46	50	30	23
Contig100231_3874	30	19	24	16	0	10	33	26	24	31	39	12	39	47	50	53	34	24
Contig100231_3886	26	26	28	15	11	10	34	16	14	40	39	22	45	51	52	45	30	24
Contig100231_3896	27	25	29	20	13	0	35	15	29	51	45	14	50	55	58	31	50	27
Contig100231_3912	22	12	14	15	12	0	20	18	19	49	44	15	49	43	54	41	37	15
Contig100242_4082	33	29	19	28	10	26	31	19	33	36	43	13	45	49	42	37	30	14
Contig100242_4084	39	31	31	32	11	28	33	31	35	37	47	24	45	49	45	47	33	26
Contig100242_4094	37	19	25	33	11	19	32	27	31	38	43	16	42	49	43	50	24	16
Contig100242_4100	18	14	12	18	11	15	15	10	12	28	34	14	19	37	27	36	21	12
Contig100247_5811	36	35	10	39	0	32	24	40	41	36	26	32	36	41	28	43	16	39
Contig100247_5815	42	42	20	46	11	39	27	46	48	44	34	38	43	47	37	48	27	51
Contig100267_6648	11	10	24	0	12	10	21	10	10	24	28	0	22	24	10	21	23	11
Contig100267_6663	41	17	35	31	19	18	37	33	15	36	52	16	34	36	13	40	32	22
Contig100353_1879	14	0	16	10	10	10	13	18	20	14	0	11	15	25	22	19	15	13
Contig100353_1901	18	13	13	15	0	12	11	16	20	12	0	14	13	34	32	16	15	18
Contig100396_1493	16	11	12	19	13	10	16	13	17	28	18	17	24	31	27	21	26	24
Contig100499_2590	17	13	13	0	13	13	21	14	18	16	39	0	24	42	57	41	11	12
Contig100522_5271	40	21	48	46	12	22	41	40	45	50	57	27	43	48	62	57	55	19
Contig100522_5285	40	26	53	44	13	32	40	29	42	55	62	14	50	54	67	65	55	22
Contig100522_5295	21	19	33	22	12	20	29	20	20	35	44	11	38	42	41	45	38	13
Contig100556_1702	39	27	39	34	29	34	37	19	38	38	27	37	47	53	45	33	21	25
Contig100556_1864	10	10	14	10	13	11	13	13	14	10	13	13	12	14	15	13	12	13
Contig100556_1869	14	14	14	13	16	14	15	16	16	14	15	14	14	16	16	15	14	15
Contig100578_1226	32	25	30	16	11	10	28	26	31	25	28	30	40	44	47	34	38	31
Contig100578_1264	30	27	26	24	10	12	16	30	20	23	25	28	36	32	35	33	20	16
Contig100706_944	14	17	16	18	15	14	21	15	17	12	0	15	14	18	14	14	15	17
Contig100745_189	12	17	21	15	0	13	16	14	10	20	0	12	18	16	12	16	12	13
Contig100764_569	11	16	19	19	12	12	14	15	18	24	39	0	29	39	37	43	26	10
Contig100771_1673	14	10	10	12	10	0	12	12	16	11	31	0	35	32	41	45	25	14
Contig100776_1656	21	14	14	14	13	16	11	21	17	32	26	16	29	26	33	36	29	19
Contig100776_1700	16	12	12	21	11	11	16	11	14	25	31	28	39	25	40	26	29	15
Contig100776_1764	13	10	14	17	10	17	17	14	18	20	51	13	45	23	39	45	30	22
Contig100776_1801	40	17	20	38	14	13	41	24	16	55	63	17	45	52	58	54	48	31
Contig100776_1805	36	17	18	32	11	10	36	21	17	52	59	16	39	46	51	47	44	21
Contig100776_1862	14	22	18	29	12	0	14	10	12	38	53	11	44	50	52	52	37	15
Contig100776_1873	31	13	32	39	29	0	35	28	29	45	66	26	52	57	63	62	46	26
Contig100776_1884	16	0	15	31	12	11	31	17	12	40	53	26	48	45	56	54	39	17
Contig100776_1915	26	23	12	26	0	10	29	10	20	44	60	0	41	35	38	43	26	14
Contig100807_3533	25	30	27	26	15	17	24	22	32	63	61	20	66	46	54	52	32	29
Contig100807_3551	14	15	14	18	10	0	13	16	17	38	36	12	38	20	30	19	21	12
Contig100831_4297	23	21	31	25	18	18	29	23	24	22	24	19	26	27	25	38	24	25
Contig100831_4306	32	26	33	31	25	24	34	29	25	32	30	21	31	36	34	42	26	29
Contig100964_9123	18	10	21	13	13	0	18	18	15	23	22	13	25	41	37	44	17	16
Contig100964_9127	22	14	24	15	15	0	25	19	19	22	25	15	28	43	29	44	18	19
Contig100964_9135	20	16	24	13	15	11	24	20	19	24	28	18	30	32	33	32	18	19
Contig100988_3321	26	23	28	28	10	0	28	18	30	38	35	16	43	47	38	48	33	35
Contig100988_3333	30	31	31	28	23	10	27	18	36	39	37	28	42	50	42	50	31	36
Contig100994_3428	14	0	13	11	14	12	10	12	18	23	10	12	12	15	10	16	16	21
Contig100994_4237	24	12	22	20	11	0	25	26	23	42	44	10	43	35	41	38	28	16
Contig101063_223	13	10	14	14	13	0	13	16	16	44	42	15	34	43	39	39	21	17
Contig101063_229	24	12	23	12	13	0	26	32	22	46	45	13	37	49	44	47	31	17
Contig101063_333	17	10	17	17	13	0	14	17	28	54	56	14	38	48	51	62	27	16
Contig101118_899	13	11	14	16	12	10	20	14	20	35	23	0	26	27	27	26	30	16
Contig101118_908	12	0	17	16	15	10	20	14	17	32	25	13	25	24	25	28	33	16
Contig101130_953	11	16	13	13	10	0	14	14	14	12	14	14	16	17	15	14	12	14
Contig101153_3210	14	13	11	12	18	0	14	17	14	17	19	14	18	22	22	21	19	19
Contig101153_3212	14	14	0	12	14	11	16	17	13	16	19	14	20	21	22	21	20	16
Contig101153_3220	12	15	10	12	14	10	14	14	11	17	16	11	17	23	25	24	18	16
Contig101153_3227	10	12	11	14	15	12	15	13	10	14	17	11	18	23	21	23	17	14
Contig10117_4187	10	11	12	12	0	11	11	13	14	25	19	13	20	31	25	32	22	15
Contig10117_4221	13	12	0	17	12	11	19	12	12	29	15	18	25	10	24	24	17	19
Contig10117_4231	15	13	0	20	11	12	19	18	16	34	17	18	28	14	30	24	18	19
Contig10117_4282	12	12	0	14	13	10	10	15	11	30	15	0	20	17	20	16	20	14
Contig101233_1885	10	21	10	11	0	11	29	15	22	10	12	26	16	13	0	16	16	13
Contig101233_1890	11	11	12	14	10	12	31	16	26	12	15	30	18	17	11	18	13	29
Contig10126_657	13	15	12	13	11	0	12	16	19	23	0	12	13	13	16	13	14	17
Contig1013_18364	13	10	10	13	13	11	13	14	18	16	0	13	12	11	15	10	14	16
Contig1013_18434	20	16	23	12	17	16	21	13	18	16	0	13	16	14	11	17	19	21
Contig1013_18662	12	13	23	24	10	10	30	16	24	21	11	14	22	33	11	33	17	17
Contig1013_18683	10	0	15	10	11	10	13	16	14	14	10	11	16	29	15	15	14	15
Contig1013_18778	23	12	12	27	24	0	25	26	33	29	12	12	28	18	24	32	27	28
Contig1013_18799	17	14	16	14	17	0	13	15	26	18	0	14	23	31	16	23	31	17
Contig1013_21395	18	17	24	19	11	13	14	14	13	18	18	15	39	31	43	37	23	17
Contig101333_4473	18	12	15	16	0	14	16	14	18	20	22	13	19	20	21	23	21	13
Contig101333_4477	21	19	20	22	13	20	24	20	24	25	31	18	27	27	30	31	30	17
Contig101333_4493	18	14	15	21	11	17	19	17	19	25	28	21	23	30	27	30	24	14
Contig101346_3151	31	27	26	32	12	21	27	14	28	36	25	13	33	32	30	26	30	21
Contig101346_3160	33	36	40	41	13	26	34	11	31	49	39	19	41	43	40	41	38	23
Contig101346_3164	32	39	40	58	12	32	37	11	33	69	54	19	57	58	64	61	36	24
Contig101375_2970	15	11	14	11	12	0	17	11	15	16	39	0	39	43	46	49	25	13
Contig10144_6300	12	0	14	11	13	10	13	20	25	36	50	0	41	24	42	48	14	22
Contig10144_6346	0	10	30	16	11	10	13	23	20	61	14	11	0	33	39	34	48	13
Contig101541_7178	34	20	21	22	19	17	33	18	29	19	22	20	41	35	17	28	21	25
Contig101603_2650	20	14	11	15	11	0	17	14	13	17	11	12	15	24	17	17	16	15
Contig101620_2598	16	27	23	21	12	12	31	0	14	13	0	16	28	37	35	37	31	30
Contig101620_2633	11	14	19	19	10	12	18	0	16	0	22	16	19	33	18	22	16	14
Contig101620_2641	16	16	27	21	12	15	23	13	18	12	32	18	21	36	24	21	19	20
Contig101620_2676	21	16	24	16	14	10	22	14	21	13	20	10	17	33	30	32	14	20
Contig101620_2684	18	11	19	15	12	10	21	13	18	12	18	0	16	23	24	26	14	15
Contig101656_1466	14	11	12	14	0	10	18	16	16	19	19	11	21	31	19	35	12	17
Contig101656_1498	18	13	14	0	13	14	14	15	17	14	19	16	27	19	24	26	18	18
Contig101656_1506	21	15	14	12	0	12	15	13	16	13	25	13	28	21	24	25	23	21
Contig101656_1511	24	16	11	12	10	11	14	12	18	16	24	10	25	20	25	28	24	23
Contig101661_866	12	10	10	11	12	0	11	11	14	31	27	11	22	41	27	20	27	13
Contig101661_1219	13	0	30	32	11	13	28	12	26	42	42	11	44	47	51	47	37	38
Contig101661_1289	12	13	15	28	11	13	28	25	28	54	49	25	53	44	28	46	24	36
Contig101661_1348	25	11	14	27	0	10	16	15	15	40	45	11	33	40	38	47	35	21
Contig101661_1352	27	13	18	30	0	12	28	18	17	48	49	11	38	43	41	52	41	23
Contig101661_1355	29	15	18	33	11	13	30	21	16	55	55	14	42	46	45	55	40	26
Contig101661_2958	20	18	27	21	11	11	15	20	20	25	50	18	26	23	45	42	23	18
Contig101661_2968	20	15	21	21	12	0	17	18	17	29	58	16	24	24	53	44	27	19
Contig101661_3021	11	10	20	13	21	10	15	12	0	32	60	15	36	37	48	46	39	11
Contig101661_3025	12	0	11	14	20	11	16	12	11	35	58	15	37	39	49	46	37	16
Contig101661_3046	24	0	25	26	14	10	26	13	12	47	63	12	45	46	66	50	48	27
Contig101661_3076	16	13	28	32	0	10	27	30	25	52	65	13	46	47	50	49	48	19
Contig101661_3079	27	13	32	33	11	14	29	32	27	57	72	14	47	45	55	48	49	30
Contig101661_3081	30	12	32	33	11	13	30	30	30	55	67	14	46	49	54	55	54	32
Contig101661_3091	26	22	36	33	10	25	28	35	37	55	69	21	50	52	59	62	55	30
Contig101661_3096	28	25	36	38	10	22	30	33	37	58	68	21	56	55	62	57	59	34
Contig101661_3111	25	19	20	37	13	13	19	19	21	52	55	17	48	50	53	52	50	20
Contig101661_3121	16	16	17	38	13	12	18	17	30	54	52	20	43	45	53	51	46	23
Contig101661_3148	40	26	27	41	30	0	36	43	42	61	69	28	58	69	68	74	64	40
Contig101661_3158	36	23	28	37	29	0	35	33	39	62	68	27	55	70	69	74	63	32
