id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig141213_6476	Contig141213	6476	18	2.884e-01	9.480e-01	1.929e-01	8.958e-07	7.241e-01	2.684e-01	1.343e+01	2.253e+01	-1.094e+01	2.932e+00	-2.091e+00	5.997e-01	0.0088003392	8.958e-07	TRUE	14	15	13	22	19	12	15	16	17	15	7	21	23	30	28	25	19	21
Contig1438_20471	Contig1438	20471	18	3.817e-01	3.373e-01	8.245e-02	4.299e-05	7.243e-01	2.522e-01	2.436e+00	4.614e+00	-3.412e+00	1.307e+00	-8.865e-01	3.161e-01	0.0767879563636364	4.299e-05	TRUE	17	18	9	18	14	16	19	16	15	14	14	17	20	24	23	30	19	16
Contig15352_548	Contig15352	548	18	2.484e-01	-3.105e-01	7.447e-02	3.057e-05	7.835e-01	2.408e-01	9.946e+00	1.569e+01	5.429e+00	1.233e+00	2.619e+00	5.902e-01	0.0667377066666667	3.057e-05	TRUE	29	27	30	25	23	18	22	25	23	22	10	33	35	33	34	34	23	36
Contig22963_1928	Contig22963	1928	18	2.969e-01	-6.091e-01	1.483e-01	3.999e-05	6.355e-01	2.805e-01	5.966e+00	1.153e+01	1.086e+01	2.279e+00	3.679e+00	8.785e-01	0.0767879563636364	3.999e-05	TRUE	24	16	20	27	15	16	26	19	20	28	13	17	29	31	21	33	26	28
Contig23508_30800	Contig23508	30800	18	2.105e-01	-2.483e-01	6.189e-02	5.999e-05	8.407e-01	1.451e-01	6.790e+00	8.965e+00	5.240e+00	1.045e+00	1.213e+00	3.062e-01	0.0906679630769231	5.999e-05	TRUE	33	28	26	26	24	18	30	26	34	32	47	27	33	32	36	35	32	26
Contig28669_22824	Contig28669	22824	18	2.014e-01	4.062e-01	9.295e-02	1.239e-05	8.537e-01	7.974e-02	2.756e+01	2.318e+01	-3.748e+00	1.848e+00	-5.823e-01	4.263e-01	0.048687744	1.239e-05	TRUE	24	21	27	20	18	15	27	12	25	42	49	15	41	37	47	40	36	23
Contig33119_17449	Contig33119	17449	18	1.647e-01	-3.390e-01	7.619e-02	8.6e-06	8.637e-01	1.697e-01	3.626e+01	3.241e+01	7.045e+00	1.776e+00	8.471e-01	2.801e-01	0.0422432	8.6e-06	TRUE	16	20	26	24	12	15	19	23	28	36	41	10	17	28	31	30	31	14
Contig38421_30995	Contig38421	30995	18	2.478e-01	-4.417e-01	8.631e-02	3.089e-07	7.430e-01	2.358e-01	1.165e+01	1.665e+01	5.822e+00	1.621e+00	3.767e+00	5.607e-01	0.0060692672	3.089e-07	TRUE	20	15	16	23	18	17	20	17	28	36	18	21	29	29	30	33	27	17
Contig42560_4607	Contig42560	4607	18	3.109e-01	6.899e-01	1.506e-01	4.653e-06	4.271e-01	2.321e-01	7.696e+00	7.439e+00	-6.914e+00	2.716e+00	-1.569e+00	6.592e-01	0.030474048	4.653e-06	TRUE	20	24	15	17	18	8	16	22	22	18	16	24	27	26	25	24	28	34
Contig50682_6990	Contig50682	6990	18	1.788e-01	-4.398e-01	1.053e-01	2.983e-05	8.631e-01	1.048e-01	4.700e+01	3.086e+01	9.803e+00	2.357e+00	1.178e+00	4.553e-01	0.0667377066666667	2.983e-05	TRUE	13	13	19	10	11	14	15	17	15	16	34	11	27	29	23	35	26	16
Contig730_11771	Contig730	11771	18	2.753e-01	3.691e-01	9.085e-02	4.848e-05	6.641e-01	2.521e-01	8.972e+00	1.357e+01	-8.657e-01	1.541e+00	-1.622e+00	4.451e-01	0.07937792	4.848e-05	TRUE	13	14	17	19	21	14	22	13	21	29	23	18	31	25	37	25	21	22
Contig86282_3894	Contig86282	3894	18	3.151e-01	-5.442e-01	1.278e-01	2.045e-05	3.919e-01	2.066e-01	6.968e+00	6.465e+00	9.214e+00	2.184e+00	2.888e+00	6.259e-01	0.0667377066666667	2.045e-05	TRUE	17	18	23	19	20	13	22	29	26	50	37	17	35	41	39	45	40	22
Contig86991_2290	Contig86991	2290	18	1.985e-01	3.126e-01	7.463e-02	2.802e-05	8.487e-01	1.162e-01	2.410e+01	2.148e+01	-3.721e+00	1.691e+00	1.290e-01	3.391e-01	0.0667377066666667	2.802e-05	TRUE	21	17	19	28	18	14	22	17	32	29	41	16	33	40	49	44	29	22
