siteID	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig0_39226	11	17	10	14	9	13	9	10	18	9	NA	15	10	5	8	8	8	8
Contig0_39234	10	7	10	5	12	11	7	8	8	7	NA	10	8	5	12	5	12	10
Contig0_71523	13	12	11	16	8	NA	7	10	15	19	17	11	22	18	27	18	14	18
Contig0_71533	17	17	13	17	17	13	13	18	19	22	22	15	29	20	32	20	17	22
Contig0_71542	15	21	12	14	13	12	20	11	13	16	19	12	33	21	30	19	11	21
Contig0_71546	14	17	11	12	9	13	18	11	11	13	15	11	28	18	24	17	12	16
Contig0_71558	17	16	10	15	11	NA	19	11	13	22	20	16	26	21	26	23	20	18
Contig0_71617	15	12	17	17	12	NA	20	16	11	15	17	12	18	17	21	14	20	16
Contig0_71647	15	14	11	16	11	8	16	22	19	12	19	12	14	20	33	29	22	13
Contig0_71680	13	11	16	13	16	NA	14	11	15	19	13	22	28	33	18	31	16	18
Contig0_71685	12	12	14	12	16	NA	15	14	20	25	18	22	26	29	18	20	18	17
Contig0_71690	16	13	15	17	18	9	18	16	24	27	21	21	18	22	21	31	21	15
Contig0_71699	12	14	13	16	15	NA	15	12	19	22	18	21	21	26	22	18	21	14
Contig0_71701	14	15	12	15	14	NA	16	11	15	26	19	21	22	33	35	18	23	13
Contig100023_8119	11	13	11	11	NA	8	10	9	12	19	NA	8	21	24	39	8	9	15
Contig100117_1003	16	11	10	14	12	NA	11	12	13	15	17	11	20	34	19	7	23	1
Contig100137_22	12	9	15	18	8	8	22	13	18	11	21	16	20	20	21	25	16	15
Contig100137_27	14	9	19	18	10	10	22	15	17	15	17	17	21	19	22	22	14	12
Contig100137_122	27	29	38	43	26	12	36	27	38	29	41	31	38	57	48	48	32	38
Contig100137_144	18	13	35	25	17	NA	31	15	30	20	22	30	32	45	33	26	32	17
Contig100137_157	23	23	40	27	18	10	37	20	28	30	37	36	29	50	47	32	36	16
Contig100137_197	11	17	22	28	8	NA	30	9	32	12	33	22	29	34	23	28	14	23
Contig100139_807	23	27	28	26	26	19	33	22	19	47	35	35	41	40	40	28	44	37
Contig100139_835	38	42	31	37	29	19	42	28	39	51	48	23	52	51	46	49	48	38
Contig100139_896	32	32	42	38	23	41	46	43	39	50	47	41	51	45	55	47	52	41
Contig100164_505	7	NA	12	9	12	10	19	12	20	31	13	8	12	12	24	12	23	13
Contig100164_509	8	NA	10	6	10	6	13	13	19	27	9	8	10	9	16	11	13	10
Contig100164_1018	14	8	17	31	11	9	28	20	29	26	NA	17	26	37	32	26	29	32
Contig100164_1026	19	14	20	27	13	20	24	21	29	30	13	28	41	30	41	20	32	31
Contig100164_1037	22	18	22	33	12	19	28	26	32	35	14	24	33	38	35	28	31	36
Contig100188_606	16	14	13	17	15	12	13	17	17	NA	10	12	31	16	26	16	19	16
Contig100188_613	17	16	13	19	15	12	16	15	17	10	13	NA	36	21	31	16	12	18
Contig100188_616	15	13	14	18	12	NA	17	13	17	NA	11	10	35	16	24	15	15	13
Contig100199_24194	10	NA	11	23	10	10	14	13	12	28	30	NA	31	15	27	34	26	27
Contig100231_3835	10	0	12	15	8	10	14	14	24	29	35	13	39	40	42	44	18	14
Contig100231_3858	11	12	12	15	8	NA	36	32	27	38	39	10	41	46	47	52	38	22
Contig100231_3862	21	21	20	13	10	NA	33	29	8	36	38	NA	40	47	44	48	30	23
Contig100231_3874	27	17	0	7	NA	7	0	18	11	20	0	11	1	21	27	0	0	13
Contig100231_3886	24	24	28	15	11	9	32	14	13	37	39	20	45	46	47	40	30	22
Contig100231_3896	26	24	28	20	12	NA	33	15	26	50	45	14	49	50	56	31	48	26
Contig100231_3912	21	12	13	15	12	NA	20	17	19	49	43	14	48	41	53	38	35	15
Contig100242_4082	32	29	17	25	10	24	27	19	28	32	42	12	43	48	42	37	30	14
Contig100242_4084	37	29	29	28	10	26	27	28	31	34	41	20	41	43	38	41	31	23
Contig100242_4094	36	17	22	31	10	18	31	27	29	38	40	15	40	46	42	48	24	16
Contig100242_4100	18	12	10	16	11	12	13	9	12	24	30	13	19	30	26	32	19	11
Contig100247_5811	20	24	8	22	NA	18	14	17	17	18	13	18	17	29	18	29	4	23
Contig100247_5815	32	29	14	37	7	28	21	40	45	38	30	25	36	38	35	38	21	39
Contig100267_6648	9	10	21	NA	12	9	19	10	10	22	26	NA	22	19	8	19	20	9
Contig100267_6663	40	17	24	31	13	18	36	31	14	31	45	14	26	31	11	39	29	21
Contig100353_1879	13	NA	16	10	9	10	13	17	19	14	NA	11	13	25	20	19	15	13
Contig100353_1901	17	12	13	15	NA	11	11	14	19	12	NA	12	12	34	32	15	14	18
Contig100396_1493	16	11	11	18	11	10	16	13	17	26	17	17	24	30	26	19	26	24
Contig100499_2590	15	11	10	NA	12	12	21	14	17	16	38	NA	20	38	56	38	10	11
Contig100522_5271	38	21	44	40	12	20	30	38	44	46	55	26	42	43	61	54	54	19
Contig100522_5285	37	25	50	43	13	31	38	28	40	50	56	14	49	51	64	64	54	20
Contig100522_5295	20	18	28	22	10	20	24	16	20	30	32	10	33	36	38	43	35	13
Contig100556_1702	32	25	36	28	26	29	32	17	30	32	24	35	43	48	40	30	17	22
Contig100556_1864	9	8	13	9	12	8	9	13	11	5	13	9	10	9	11	9	11	11
Contig100556_1869	10	13	12	10	16	12	14	15	16	14	13	13	13	15	14	15	14	12
Contig100578_1226	31	23	30	13	8	10	24	26	31	25	27	28	36	40	47	33	37	29
Contig100578_1264	28	24	26	24	8	11	16	24	19	20	23	24	36	32	33	30	19	14
Contig100706_944	12	13	14	13	14	8	20	10	16	11	NA	12	10	12	14	9	13	13
Contig100745_189	11	10	21	15	NA	13	15	13	10	13	NA	11	16	16	11	15	12	11
Contig100764_569	9	15	17	17	12	11	12	15	15	21	17	NA	8	13	36	42	25	10
Contig100771_1673	13	10	8	10	10	NA	12	12	15	9	23	NA	32	32	41	41	24	11
Contig100776_1656	17	13	12	13	9	12	10	19	13	22	21	7	22	20	29	30	25	15
Contig100776_1700	16	11	12	20	11	9	16	11	12	22	20	28	36	23	38	24	27	13
Contig100776_1764	13	0	12	8	4	15	6	6	14	16	34	9	35	12	34	34	18	16
Contig100776_1801	31	11	15	31	12	11	33	15	9	39	53	10	37	44	46	43	40	25
Contig100776_1805	35	17	17	29	11	10	33	21	16	51	57	14	39	43	46	42	43	20
Contig100776_1862	14	18	17	28	7	NA	9	9	10	30	49	11	35	47	44	44	27	13
Contig100776_1873	29	10	28	36	19	NA	26	27	24	38	59	19	49	53	57	53	40	23
Contig100776_1884	15	NA	15	14	10	10	11	11	10	36	48	16	45	23	50	47	26	17
Contig100776_1915	25	22	12	25	NA	9	28	10	19	43	57	NA	36	30	37	38	24	11
Contig100807_3533	21	28	24	24	15	17	22	18	29	58	55	20	62	45	49	49	29	25
