id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig100630_5150	Contig100630	5150	18	2.371e-01	-7.572e-01	1.498e-01	4.327e-07	8.604e-01	1.745e-01	2.836e+01	2.921e+01	1.330e+01	2.902e+00	4.258e+00	1.023e+00	0.00515626449344377	4.327e-07	TRUE	9	13	11	10	6	12	10	7	8	2	8	9	10	11	7	12	4	9
Contig104145_15392	Contig104145	15392	18	1.944e-01	-4.689e-01	1.025e-01	4.739e-06	8.512e-01	1.443e-01	2.515e+01	2.544e+01	1.030e+01	2.154e+00	2.204e+00	6.669e-01	0.0199776421733775	4.739e-06	TRUE	19	25	16	9	10	10	25	12	21	14	3	20	13	27	9	13	25	18
Contig108212_4694	Contig108212	4694	18	2.245e-01	6.933e-01	1.600e-01	1.469e-05	8.257e-01	2.041e-01	2.326e+01	2.498e+01	-7.180e+00	2.947e+00	-1.754e+00	4.081e-01	0.0420127711996426	1.469e-05	TRUE	9	4	8	6	3	7	9	2	19	13	12	4	15	18	17	19	14	9
Contig113675_119	Contig113675	119	18	2.518e-01	-6.191e-01	1.258e-01	8.638e-07	8.142e-01	2.289e-01	1.437e+01	1.805e+01	8.007e+00	1.782e+00	4.238e+00	8.584e-01	0.00926411634502671	8.638e-07	TRUE	9	6	9	9	3	3	8	13	10	10	13	4	12	18	10	10	6	4
Contig120547_984	Contig120547	984	18	3.472e-01	-2.246e-01	4.877e-02	4.144e-06	3.462e-01	1.909e-01	9.067e-01	9.698e-01	4.371e+00	8.790e-01	9.912e-02	2.201e-01	0.0199776421733775	4.144e-06	TRUE	40	25	0	26	9	19	17	34	18	40	3	21	26	19	0	12	20	9
Contig1245_9137	Contig1245	9137	18	2.433e-01	3.351e-01	8.194e-02	4.324e-05	7.642e-01	2.013e-01	1.227e+01	1.619e+01	-2.823e+00	1.626e+00	-5.995e-01	3.405e-01	0.07956547581926	4.324e-05	TRUE	11	10	11	15	6	9	12	17	15	12	3	6	17	5	17	16	13	12
Contig125314_6443	Contig125314	6443	18	1.866e-01	-3.194e-01	7.743e-02	3.707e-05	8.704e-01	7.614e-02	7.337e+01	3.665e+01	9.908e+00	2.574e+00	1.035e+00	2.766e-01	0.0707269945344804	3.707e-05	TRUE	9	9	4	13	1	2	3	10	11	18	7	3	0	7	20	6	13	5
Contig128973_13689	Contig128973	13689	18	1.704e-01	6.818e-01	1.482e-01	4.211e-06	8.902e-01	1.467e-01	5.367e+01	3.340e+01	-1.261e+01	2.566e+00	-1.400e+00	6.202e-01	0.0199776421733775	4.211e-06	TRUE	0	0	6	0	2	7	0	0	0	15	9	10	18	19	15	16	5	14
Contig128973_14453	Contig128973	14453	18	1.525e-01	5.928e-01	1.291e-01	4.43e-06	9.216e-01	5.303e-02	9.199e+01	3.066e+01	-1.434e+01	2.969e+00	-1.493e+00	6.207e-01	0.0199776421733775	4.43e-06	TRUE	4	0	0	0	0	7	0	0	0	3	5	0	5	8	4	7	0	0
Contig131269_7290	Contig131269	7290	18	2.613e-01	-4.758e-01	1.017e-01	2.883e-06	7.131e-01	2.742e-01	1.548e+01	2.204e+01	8.843e+00	2.336e+00	2.757e+00	6.280e-01	0.0185182228398697	2.883e-06	TRUE	9	5	12	17	4	10	10	11	18	12	9	5	4	15	16	18	6	5
Contig142419_2180	Contig142419	2180	18	2.766e-01	-3.486e-01	7.513e-02	3.496e-06	8.017e-01	2.274e-01	1.161e+01	1.788e+01	8.581e+00	1.474e+00	1.684e+00	4.540e-01	0.0192564492909186	3.496e-06	TRUE	15	16	19	19	13	11	19	19	19	22	22	13	24	20	28	30	22	21
Contig143_19511	Contig143	19511	18	1.365e-01	3.756e-01	7.210e-02	1.898e-07	9.807e-01	4.880e-02	6.818e+01	3.440e+01	-1.015e+01	1.670e+00	-1.424e+00	3.366e-01	0.00375534379419752	1.898e-07	TRUE	0	0	1	1	0	0	0	3	0	3	4	4	11	6	7	5	2	1
Contig1434_2337	Contig1434	2337	18	2.168e-01	-5.271e-01	1.122e-01	2.638e-06	7.607e-01	2.519e-01	2.115e+01	2.479e+01	1.166e+01	2.244e+00	2.579e+00	5.965e-01	0.0182529848741722	2.638e-06	TRUE	16	10	6	15	9	11	15	15	21	24	17	10	31	30	26	27	23	14
Contig1438_20471	Contig1438	20471	18	4.217e-01	3.346e-01	6.440e-02	2.048e-07	6.701e-01	2.556e-01	2.090e+00	6.771e+00	-3.365e+00	1.150e+00	-9.071e-01	2.345e-01	0.00375534379419752	2.048e-07	TRUE	11	17	8	15	13	16	15	13	12	13	13	11	19	24	23	30	15	12
Contig146547_1955	Contig146547	1955	18	2.175e-01	-5.909e-01	1.392e-01	2.189e-05	7.748e-01	1.948e-01	2.742e+01	2.495e+01	1.042e+01	2.748e+00	3.645e+00	8.714e-01	0.0572601795787854	2.189e-05	TRUE	12	11	10	10	7	7	12	10	18	3	2	11	15	15	11	3	15	22
Contig147_50174	Contig147	50174	18	3.097e-01	-5.210e-01	1.098e-01	2.093e-06	8.045e-01	2.098e-01	1.514e+01	2.146e+01	6.680e+00	1.834e+00	3.684e+00	6.749e-01	0.0166274733607239	2.093e-06	TRUE	17	5	6	5	8	12	7	9	10	8	3	11	13	7	6	4	8	9
Contig147281_3425	Contig147281	3425	18	2.763e-01	-4.408e-01	9.282e-02	2.04e-06	7.632e-01	2.226e-01	1.167e+01	1.649e+01	7.440e+00	1.819e+00	2.805e+00	6.547e-01	0.0166274733607239	2.04e-06	TRUE	11	6	13	5	6	5	10	8	15	20	16	11	19	19	19	14	11	10
Contig150294_935	Contig150294	935	18	2.826e-01	-7.078e-01	1.734e-01	4.484e-05	5.507e-01	2.753e-01	1.830e+01	2.377e+01	1.283e+01	3.417e+00	3.643e+00	1.096e+00	0.0808598822163352	4.484e-05	TRUE	5	11	13	9	1	4	15	10	11	7	14	9	18	24	21	22	10	6
Contig15885_3040	Contig15885	3040	18	3.000e-01	-6.351e-01	1.510e-01	2.612e-05	6.773e-01	2.558e-01	8.516e+00	1.457e+01	9.189e+00	2.363e+00	4.692e+00	9.749e-01	0.0610383255767738	2.612e-05	TRUE	12	7	14	2	9	7	16	15	11	24	9	3	8	23	31	26	7	5
Contig16476_5597	Contig16476	5597	18	3.157e-01	4.242e-01	8.690e-02	1.053e-06	7.290e-01	2.329e-01	7.371e+00	1.126e+01	-4.829e+00	1.907e+00	-7.771e-01	3.287e-01	0.010006741534588	1.053e-06	TRUE	5	7	10	5	10	6	8	4	7	7	4	3	14	21	18	12	11	14
Contig16668_1980	Contig16668	1980	18	1.887e-01	5.813e-01	1.320e-01	1.07e-05	8.793e-01	1.015e-01	3.688e+01	2.778e+01	-4.814e+00	2.797e+00	-1.211e+00	3.954e-01	0.0342554574517269	1.07e-05	TRUE	11	12	6	15	10	11	8	10	13	12	5	12	16	19	13	14	8	9
Contig171276_2996	Contig171276	2996	18	2.769e-01	1.282e+00	3.007e-01	2.022e-05	6.249e-01	2.630e-01	2.750e+01	2.441e+01	-1.700e+01	4.795e+00	-1.071e+00	1.361e+00	0.0542140635842904	2.022e-05	TRUE	1	8	3	1	9	8	8	6	14	6	2	7	9	5	7	5	5	5
Contig1730_12641	Contig1730	12641	18	2.805e-01	-6.688e-01	1.581e-01	2.343e-05	6.878e-01	2.391e-01	1.511e+01	2.076e+01	1.087e+01	2.854e+00	4.202e+00	7.904e-01	0.0591254091943876	2.343e-05	TRUE	11	7	9	8	6	2	9	13	8	6	6	5	15	21	19	21	9	11
Contig17413_5322	Contig17413	5322	18	2.618e-01	-3.902e-01	9.673e-02	5.487e-05	6.898e-01	2.533e-01	8.236e+00	1.493e+01	8.295e+00	1.932e+00	2.432e+00	4.321e-01	0.0912359600631814	5.487e-05	TRUE	19	17	23	21	13	18	20	21	27	49	53	26	41	50	51	40	40	39
Contig17651_1121	Contig17651	1121	18	1.942e-01	-9.745e-01	2.106e-01	3.71e-06	8.272e-01	8.046e-02	5.058e+01	3.168e+01	1.225e+01	3.562e+00	2.062e+00	6.279e-01	0.0194093436489076	3.71e-06	TRUE	11	9	0	7	0	0	10	9	0	0	0	1	0	0	0	0	0	0
Contig17870_560	Contig17870	560	18	3.301e-01	3.901e-01	8.977e-02	1.388e-05	6.695e-01	2.790e-01	6.967e+00	1.162e+01	-3.082e+00	1.649e+00	-1.649e+00	4.482e-01	0.0402326410858904	1.388e-05	TRUE	4	6	8	9	5	5	6	8	12	3	5	8	13	8	18	8	12	1
