#CHROM	POS	CONTEXT	Watson-METH	Watson-COVERAGE	Watson-QUAL	Crick-METH	Crick-COVERAGE	Crick-QUAL
Contig0	20	CHH	0	11	37	.	.	.
Contig0	21	CHH	0	12	37	.	.	.
Contig0	24	CHH	0	12	36	.	.	.
Contig0	43	CHH	0	16	34	.	.	.
Contig0	44	CHH	0	16	35	.	.	.
Contig0	45	CHH	0	15	36	.	.	.
Contig0	46	CHH	1	14	35	.	.	.
Contig0	52	CHH	0	19	35	.	.	.
Contig0	53	CHH	0	18	35	.	.	.
Contig0	68	CHH	0	13	34	.	.	.
Contig0	69	CHH	0	12	36	.	.	.
Contig0	166	CHH	1	14	34	.	.	.
Contig0	171	CHH	.	.	.	0	19	36
Contig0	172	CHH	.	.	.	0	20	36
Contig0	174	CHH	.	.	.	2	25	35
Contig0	184	CHH	.	.	.	1	26	34
Contig0	185	CHH	0	16	35	.	.	.
Contig0	187	CHH	1	17	35	.	.	.
Contig0	189	CHH	0	14	36	.	.	.
Contig0	192	CHH	.	.	.	1	27	35
Contig0	206	CHH	.	.	.	0	10	36
Contig0	234	CHH	.	.	.	0	17	36
Contig0	237	CHH	0	19	36	.	.	.
Contig0	239	CHH	0	22	35	.	.	.
Contig0	244	CHH	.	.	.	1	31	36
Contig0	246	CHH	.	.	.	1	32	36
Contig0	254	CHH	0	36	36	.	.	.
Contig0	257	CHH	.	.	.	0	38	36
Contig0	259	CHH	.	.	.	1	34	35
Contig0	266	CHH	0	21	35	.	.	.
Contig0	270	CHH	0	16	36	.	.	.
Contig0	282	CHH	.	.	.	0	29	37
Contig0	285	CHH	.	.	.	0	30	36
Contig0	286	CHH	.	.	.	0	29	36
Contig0	287	CHH	0	16	36	.	.	.
Contig0	301	CHH	0	20	35	.	.	.
Contig0	310	CHH	0	23	36	.	.	.
Contig0	311	CHH	0	24	37	.	.	.
Contig0	314	CHH	.	.	.	2	28	36
Contig0	315	CHH	.	.	.	1	24	36
Contig0	316	CHH	.	.	.	1	29	35
Contig0	319	CHH	.	.	.	1	26	36
Contig0	324	CHH	.	.	.	1	18	36
Contig0	326	CHH	.	.	.	1	19	36
Contig0	330	CHH	.	.	.	1	16	36
Contig0	340	CHH	0	14	35	.	.	.
Contig0	342	CHH	1	11	36	.	.	.
