contig	pos	fst
Contig101335	1205	NA
Contig101935	6468	0.354304635761589
Contig103298	7435	0.06282722513089
Contig106125	3829	0.272965879265092
Contig107120	3263	0.511144130757801
Contig108706	5626	0.121387283236994
Contig109783	670	0.759020618556701
Contig109827	6152	0.150313152400835
Contig111638	1027	0.122448979591837
Contig112828	139	0.228828828828829
Contig1136	332	0.358904109589041
Contig117256	646	0.148698884758364
Contig117622	6364	0.286096256684492
Contig118475	1338	0.109243697478992
Contig121494	18369	0.148351648351648
Contig122702	59	NA
Contig123152	3138	0.214501510574018
Contig128643	975	NA
Contig131107	950	0.0638820638820639
Contig132330	2646	0.483231707317073
Contig146123	3673	0.197044334975369
Contig146827	50	0.270471464019851
Contig147962	294	0.445324881141046
Contig148953	620	0.0570175438596491
Contig149	34577	0.106382978723404
Contig1491	14406	0.285425101214575
Contig149143	2161	NA
Contig150730	625	0.120967741935484
Contig150795	4642	0.296153846153846
Contig1519	525	0.400958466453674
Contig155166	937	0.0264227642276423
Contig157745	2848	0.2
Contig15941	56682	0.13508064516129
Contig160272	8334	NA
Contig16148	22080	0.570200573065903
Contig16525	36625	0.143712574850299
Contig16564	18598	0.202380952380952
Contig16632	6924	-0.00449438202247191
Contig167545	2547	-0.0021551724137931
Contig16894	524	0.311740890688259
Contig16916	28884	0.408888888888889
Contig17225	8508	0.101449275362319
Contig17378	1050	0.189686924493554
Contig175199	198	0.168807339449541
Contig180212	86	0.16195856873823
Contig1828	1408	0.111324376199616
Contig1828	1415	0.0549682875264271
Contig18505	25924	0.155009451795841
Contig18776	53	0.400990099009901
Contig18821	17868	0.11063829787234
Contig19019	14416	0.305637982195846
Contig19185	29977	0.0901639344262295
Contig196392	276	0.192816635160681
Contig19680	9352	0.0909090909090909
Contig1971	2242	0.285992217898833
Contig19975	24948	0.160714285714286
Contig19975	24955	0.160714285714286
Contig209816	2131	0.439153439153439
Contig209816	2151	0.5
Contig21274	66914	0.235443037974684
Contig21472	7569	0.145161290322581
Contig217340	66	0.801672640382318
Contig21806	16660	-0.00336700336700337
Contig21876	6162	0.439153439153439
Contig22443	8121	NA
Contig22661	4255	0.148387096774194
Contig22911	18058	0.235915492957747
Contig22978	3769	0.0424242424242424
Contig231	20140	0.376221498371336
Contig231	20148	0.376221498371336
Contig23237	49982	0.079646017699115
Contig23369	6637	0.399355877616747
Contig23975	7196	NA
Contig2416	13068	0.0222672064777328
Contig24172	12378	NA
Contig24172	12381	NA
Contig24292	25553	0.158762886597938
Contig24594	30490	0.0468431771894094
Contig246	54945	0.101626016260163
Contig24693	10326	0.5
Contig24781	42791	0.12781954887218
Contig2485	3095	0.11031175059952
Contig24884	222	NA
Contig25104	27965	NA
Contig25131	20160	0.152173913043478
Contig25405	44671	0.219219219219219
Contig25405	44691	0.219219219219219
Contig25811	8609	0.0941176470588235
Contig261	13875	0.226923076923077
Contig26207	11203	NA
Contig26536	11900	0.0909090909090909
Contig27290	43846	0.309927360774818
Contig27433	41096	0.239520958083832
Contig27602	6369	0.1256038647343
Contig27901	5460	0.351535836177474
Contig2809	997	0.00268096514745308
Contig28202	11116	NA
Contig28392	13326	0.304347826086957
Contig28392	13338	0.293975903614458
Contig28828	8053	0.125874125874126
Contig28887	18122	0.204705882352941
Contig29191	6691	0.0727272727272727
Contig29191	6698	0.0727272727272727
Contig293	5077	0.451559934318555
Contig31359	6973	0.0333333333333333
Contig31520	27048	0.00403225806451613
Contig32893	9442	0.353344768439108
Contig32893	9449	0.545718432510885
Contig34570	22353	0.0765765765765766
Contig34570	22367	NA
Contig35154	8035	NA
Contig36056	6135	0.332613390928726
Contig36131	2123	0.312621359223301
Contig36271	3884	0.282958199356913
Contig36532	2620	0.190721649484536
Contig36784	51137	0.0751173708920188
Contig369276	558	0.275154004106776
Contig36997	11877	NA
Contig370531	2186	0.12218045112782
Contig37183	1988	0.00526315789473684
Contig372813	688	0.466996699669967
Contig37709	2868	0.0894308943089431
Contig37807	4298	NA
Contig38300	12565	NA
Contig38796	13637	0.181818181818182
Contig38798	5706	0.308823529411765
Contig39782	10413	0.666666666666667
Contig39782	10415	0.692202462380301
Contig3979	12724	0.0715667311411992
Contig40218	5715	0.0324675324675325
Contig40581	22112	0.246323529411765
Contig4084	693	0.0538922155688623
Contig41023	3995	0.226923076923077
Contig41530	10903	0.0596707818930041
Contig43246	1050	0.0684039087947883
Contig4343	3020	0.206521739130435
Contig43597	6678	NA
Contig43950	6569	0.160469667318982
Contig45321	322	0.0502183406113537
Contig45321	327	0.0502183406113537
Contig45711	3017	0.235294117647059
Contig45720	19826	-0.00314465408805031
Contig45866	83	0.0255905511811024
Contig45866	86	0.0545454545454545
Contig45905	5589	0.240773286467487
Contig46346	10448	0.234317343173432
Contig46376	7479	0.263551401869159
Contig46919	14334	0.171548117154812
Contig48440	14794	0.0318471337579618
Contig489	37250	0.170254403131115
Contig48964	3254	0.146666666666667
Contig49037	9909	0.419558359621451
Contig49279	27051	0.10377358490566
Contig49380	2340	0.0433734939759036
Contig49995	9779	0.0625
Contig50194	12555	0.0717131474103586
Contig50232	5660	0.304347826086957
Contig50657	261	0.486068111455108
Contig50663	16677	0.0904522613065327
Contig51043	2780	0.24
Contig51043	2784	0.107894736842105
Contig52190	3822	0.217758985200846
Contig5362	4779	0.125
Contig54957	15652	0.152125279642058
Contig55228	3085	0.500749625187406
Contig55228	3093	0.500749625187406
Contig55653	4319	0.305239179954442
Contig56262	601	0.156521739130435
Contig57089	5631	0.154411764705882
Contig58815	14046	0.139372822299652
Contig58864	4730	0.597222222222222
Contig59006	2586	0.293795620437956
Contig59246	11313	0.382428940568475
Contig60510	13831	0.659060402684564
Contig62843	1595	-0.00408997955010225
Contig62982	13352	0.184210526315789
Contig63525	13545	0.423566878980892
Contig63525	13572	0.423566878980892
Contig64944	7727	NA
Contig653	993	0.297113752122241
Contig65456	2577	0.421052631578947
Contig66236	16603	0.213389121338912
Contig66605	1302	0.570796460176991
Contig67632	1050	0.0901639344262295
Contig6919	8653	NA
Contig69801	1384	0.303149606299213
Contig71216	5845	0.397435897435897
Contig71785	3523	0.386690647482014
Contig7303	3638	NA
Contig73426	10503	0.417543859649123
Contig74528	3229	0.160714285714286
Contig75	55990	0.0956022944550669
Contig75429	8975	0.00422832980972516
Contig75583	32	0.117647058823529
Contig76309	1213	0.355339805825243
Contig7691	746	0.139240506329114
Contig76955	2140	0.395038167938931
Contig77382	11621	0.662411347517731
Contig80818	2801	0.291161178509532
Contig80818	2814	0.210831721470019
Contig81359	3149	0.0053475935828877
Contig81674	2170	0.207017543859649
Contig83127	3882	0.188073394495413
Contig85362	1176	0.444214876033058
Contig858	10722	0.297297297297297
Contig86117	3260	0.190298507462687
Contig86507	14690	0.211363636363636
Contig8696	5413	0.0138339920948617
Contig87873	7578	0.441127694859038
Contig88104	2290	0.0275
