contig,start,end,fst01
Contig0,70000,80000,0
Contig0,100000,110000,0.0677083333333333
Contig1,40000,50000,0.0344827586206897
Contig2,10000,20000,0.0212765957446809
Contig2,130000,139250,0
Contig3,10000,20000,0.252873563218391
Contig4,50000,60000,0.0594594594594595
Contig8,70000,80000,0
Contig9,10000,20000,0.00343642611683849
Contig17,30000,40000,0.0319634703196347
Contig18,60000,70000,-0.00576368876080692
Contig24,20000,30000,0.0118243243243243
Contig25,80000,90000,0.0561224489795918
Contig33,40000,50000,0.0616686819830713
Contig38,20000,30000,0.0581395348837209
Contig38,60000,70000,-0.0065359477124183
Contig41,10000,20000,0
Contig46,10000,20000,0.236111111111111
Contig46,50000,55121,0.024
Contig55,30000,40000,0.0119047619047619
Contig56,10000,20000,0.0857142857142857
Contig65,30000,40000,-0.00302114803625378
Contig72,20000,30000,0
Contig74,40000,50000,0
Contig75,50000,60000,0.138014527845036
Contig83,30000,40000,0.0522243713733075
Contig92,10000,20000,0.125
Contig93,0,10000,0.00471698113207547
Contig95,0,10000,0.0631578947368421
Contig98,10000,20000,0.00290275761973875
Contig120,40000,50000,0.0285714285714286
Contig129,40000,50000,0.100917431192661
Contig137,40000,49306,0.36094674556213
Contig139,50000,60000,0.0391849529780564
Contig142,40000,48795,0.131487889273356
Contig149,30000,40000,0.106761565836299
Contig150,30000,40000,0
Contig155,10000,20000,0.171875
Contig157,30000,40000,0
Contig163,0,10000,0
Contig169,0,10000,0.0107238605898123
Contig173,30000,31011,0.13768115942029
Contig185,0,10000,-0.00408163265306122
Contig194,40000,50000,0
Contig208,20000,30000,0
Contig209,20000,30000,0
Contig217,0,10000,0
Contig217,10000,20000,0.0129533678756477
Contig217,20000,30000,0.280346820809249
Contig222,40000,50000,0.0926315789473684
Contig224,10000,20000,0
Contig231,20000,30000,0.376835236541599
Contig231,30000,37143,0.33502538071066
Contig232,0,10000,0.075
Contig232,10000,20000,0
Contig234,0,10000,0
Contig234,40000,50000,0.0655737704918033
Contig236,20000,30000,0.151851851851852
Contig246,50000,60000,0.10183299389002
Contig247,10000,20000,0.14713216957606
Contig249,0,10000,0.181467181467181
Contig261,10000,20000,0.227799227799228
Contig274,40000,50000,0
Contig281,0,10000,0
Contig282,30000,40000,0.00164473684210526
Contig285,50000,59331,0.015625
Contig292,10000,20000,0.131578947368421
Contig293,0,10000,0.452302631578947
Contig304,10000,20000,0.125984251968504
Contig308,10000,20000,0.0114942528735632
Contig312,20000,30000,0.0178571428571429
Contig316,10000,20000,-0.00246913580246914
Contig317,30000,34625,0.025
Contig332,10000,20000,0
Contig341,0,10000,0.0294117647058824
Contig343,20000,30000,0.135714285714286
Contig370,20000,30000,0.103658536585366
Contig370,40000,50000,0
Contig372,10000,20000,0.032258064516129
Contig375,0,10000,0.00863930885529158
Contig384,10000,20000,0
Contig385,0,10000,0.029940119760479
Contig385,10000,11533,0.0483870967741935
Contig397,10000,20000,0
Contig399,30000,40000,0.0127659574468085
Contig404,50000,58174,0
Contig405,20000,30000,0
Contig406,30000,40000,0.0277777777777778
Contig408,20000,28522,0
Contig433,30000,40000,0
Contig434,0,10000,0.035230352303523
Contig435,0,10000,0.0555555555555556
Contig448,20000,30000,0.0716417910447761
Contig462,10000,20000,0.32914798206278
Contig468,30000,40000,0.00829875518672199
Contig470,30000,33700,0.141025641025641
Contig475,20000,30000,0.0029940119760479
Contig489,0,10000,0.027027027027027
Contig489,30000,40000,0.170588235294118
Contig494,0,10000,-0.00462962962962963
Contig495,30000,38088,0.015625
Contig508,10000,20000,0.290909090909091
Contig509,20000,22065,0.0884955752212389
Contig515,10000,20000,0
Contig527,10000,20000,0
Contig532,20000,24490,0.127906976744186
Contig534,10000,20000,0.349099099099099
Contig536,0,10000,0.0384615384615385
Contig562,20000,30000,0.208530805687204
Contig583,10000,20000,0.0120481927710843
Contig591,10000,20000,0
Contig611,10000,20000,0.0442678774120318
Contig616,0,10000,0.0112676056338028
Contig623,40000,47944,0.0263157894736842
Contig630,20000,30000,0
Contig632,0,10000,0.272401433691756
Contig635,10000,20000,0.0103092783505155
Contig647,20000,30000,0.20265780730897
Contig647,40000,50000,0.154696132596685
Contig650,0,10000,0
Contig651,60000,65662,0.0406976744186046
Contig652,20000,30000,0.0207100591715976
Contig653,0,10000,0.212233549582947
Contig659,10000,20000,0.0193548387096774
Contig662,20000,30000,-0.00412371134020619
Contig668,20000,30000,0.241197183098592
Contig680,0,10000,0.142045454545455
Contig693,30000,34867,0.695355191256831
Contig708,20000,28572,0
Contig714,10000,20000,0.0386100386100386
Contig721,0,10000,0.114832535885167
Contig726,20000,30000,0.0175438596491228
Contig726,30000,38531,0
Contig729,20000,30000,0
Contig741,20000,24800,0.102870813397129
Contig745,30000,40000,0.0876623376623377
Contig754,20000,30000,0.116666666666667
Contig755,10000,20000,0.0425531914893617
Contig760,30000,40000,0.00925925925925926
Contig771,10000,18592,0
Contig773,20000,30000,-0.00402414486921529
Contig775,30000,32277,0.045045045045045
Contig786,20000,30000,0.0451127819548872
Contig787,0,10000,0.0131061598951507
Contig793,0,10000,0.021505376344086
Contig793,20000,24073,0.0454545454545455
Contig799,0,10000,0
Contig804,0,10000,0
Contig804,30000,40000,0
Contig805,10000,18715,0.0168067226890756
Contig809,20000,30000,0
Contig822,10000,20000,0.0731707317073171
Contig825,30000,37999,0.0736842105263158
Contig827,20000,30000,0
Contig858,10000,11093,0.298192771084337
Contig869,40000,44392,0
Contig875,10000,20000,0
Contig880,40000,44345,0.0245098039215686
Contig881,10000,20000,0.114666666666667
Contig903,10000,20000,0.251346499102334
Contig918,10000,20000,0.0516898608349901
Contig935,10000,20000,0.11244019138756
Contig936,0,10000,0
Contig938,0,10000,0.125523012552301
Contig945,0,10000,0.0355029585798817
Contig947,0,10000,0
Contig973,10000,20000,0
Contig975,0,10000,0.1
Contig991,10000,15323,-0.0019723865877712
Contig1012,0,10000,0.109090909090909
Contig1042,10000,20000,0
Contig1061,20000,30000,0.115646258503401
Contig1089,0,10000,0.0183299389002037
Contig1091,0,10000,0.0636942675159236
Contig1107,10000,20000,0.0789473684210526
Contig1111,0,10000,0.122362869198312
Contig1134,10000,18650,-0.00337837837837838
Contig1136,0,10000,0.220577350111029
Contig1136,10000,20000,-0.00280112044817927
Contig1137,0,10000,0
Contig1176,10000,20000,0.071969696969697
Contig1188,10000,20000,0.0357142857142857
Contig1205,0,10000,0.0135135135135135
Contig1207,10000,20000,0.274021352313167
Contig1208,10000,20000,0.00625
Contig1211,0,7027,0.0348837209302326
Contig1215,0,10000,0
Contig1263,0,10000,0.0208562019758507
Contig1282,10000,20000,0.137540453074434
Contig1284,10000,20000,0
Contig1300,30000,40000,0.331103678929766
Contig1347,0,10000,0.0684931506849315
Contig1350,0,10000,0.0524475524475524
Contig1351,0,10000,0
Contig1356,10000,14871,0
Contig1382,10000,20000,0.244103773584906
Contig1429,20000,30000,0.123456790123457
Contig1433,0,10000,0.0234309623430962
Contig1438,10000,20000,0.0465116279069768
Contig1439,10000,20000,0.00738916256157635
Contig1464,0,10000,0.439178515007899
Contig1476,20000,30000,0.0625
Contig1484,10000,20000,0.0795454545454546
Contig1491,0,10000,0.0238095238095238
Contig1491,10000,20000,0.286004056795132
Contig1502,0,10000,0
Contig1519,0,10000,0.4016
Contig1545,0,10000,0.148387096774194
Contig1546,0,10000,0
Contig1550,0,10000,0.0411985018726592
Contig1565,0,10000,0
Contig1579,0,10000,0.19047619047619
Contig1580,0,10000,0.025974025974026
Contig1586,10000,20000,0.0382978723404255
Contig1604,10000,17077,0.00549450549450549
Contig1607,0,10000,0.263456090651558
Contig1607,10000,17215,0
Contig1608,0,10000,0.024
Contig1616,0,10000,0.0208333333333333
Contig1622,10000,20000,0.0254237288135593
Contig1657,20000,30000,0.0392156862745098
Contig1664,20000,30000,0.0638888888888889
Contig1674,0,10000,0.172413793103448
Contig1680,0,10000,0.199346405228758
Contig1683,0,8583,0
Contig1691,0,10000,0.0149253731343284
Contig1711,0,10000,0
Contig1713,20000,27289,0
Contig1736,20000,24637,0.0449826989619377
Contig1752,0,10000,0.0224358974358974
Contig1761,10000,20000,0
Contig1762,0,10000,0.0425531914893617
Contig1788,0,10000,-0.00533807829181495
Contig1805,10000,19467,0.0297619047619048
Contig1816,0,10000,0.0985074626865672
Contig1817,0,10000,-0.00249376558603491
Contig1821,10000,20000,0.05
Contig1828,0,10000,0.0846774193548387
Contig1849,30000,36724,0
Contig1853,10000,11554,0.118929633300297
Contig1883,0,10000,0
Contig1888,0,10000,0.31358024691358
Contig1903,20000,30000,0.064343163538874
Contig1918,0,10000,0.0333333333333333
Contig1921,0,10000,0.05
Contig1932,0,10000,0.0444444444444444
Contig1932,10000,20000,0
Contig1956,10000,20000,0
Contig1957,10000,18659,0.0277777777777778
Contig1968,10000,16581,0.0638297872340425
Contig1971,0,10000,0.286549707602339
Contig1972,0,10000,0
Contig2010,20000,30000,0.0350877192982456
Contig2028,10000,20000,0
Contig2028,20000,22760,0
Contig2029,10000,20000,0.111842105263158
Contig2034,0,10000,0.0362537764350453
Contig2037,10000,11451,0.0309278350515464
Contig2059,0,10000,0.0404858299595142
Contig2102,0,10000,0.038961038961039
Contig2105,0,10000,0
Contig2121,0,10000,0.00327868852459016
Contig2123,0,10000,0
Contig2158,0,10000,0.0555555555555556
Contig2166,0,10000,0.0803571428571428
Contig2168,0,9925,0.0428082191780822
Contig2192,0,10000,0.0164473684210526
Contig2200,0,10000,0.0173913043478261
Contig2218,20000,26209,0
Contig2254,0,10000,-0.00400801603206413
Contig2260,10000,15398,0
Contig2288,0,10000,0
Contig2307,0,10000,0.0537010159651669
Contig2314,0,7715,0.075
Contig2316,0,10000,0.0514469453376206
Contig2337,0,10000,-0.0022271714922049
Contig2374,0,10000,0.0634920634920635
Contig2393,0,10000,0.0285714285714286
Contig2405,10000,16751,0.0725806451612903
Contig2409,10000,20000,0
Contig2416,10000,20000,0.0296052631578947
Contig2420,10000,20000,0.0268456375838926
Contig2421,10000,20000,0
Contig2424,10000,20000,0.0232558139534884
Contig2426,10000,20000,0.0566037735849057
Contig2441,0,10000,0
Contig2453,0,10000,0.025
Contig2468,0,10000,0.0228571428571429
Contig2471,0,10000,0
Contig2485,0,10000,0.110576923076923
Contig2506,0,10000,0.0078125
Contig2532,10000,18012,0.0655737704918033
Contig2535,10000,15094,0.0972762645914397
Contig2562,0,10000,0.0694444444444444
Contig2621,0,10000,0
Contig2641,20000,24262,0.1
Contig2652,20000,26983,0
Contig2655,10000,17414,0.0851063829787234
Contig2670,0,6758,0.04
Contig2676,0,10000,0.0285714285714286
Contig2679,0,10000,0.283783783783784
Contig2702,10000,17287,0.0935672514619883
Contig2704,20000,28912,0
Contig2706,0,9864,0.0895522388059701
Contig2754,10000,17095,0.00355871886120996
Contig2809,0,7781,0.0231578947368421
Contig2817,0,10000,0.0110864745011086
Contig2818,0,10000,0
Contig2820,20000,25123,0.0368217054263566
Contig2848,20000,26283,0.05
Contig2859,0,10000,0.0229007633587786
Contig2860,0,8197,0.015625
Contig2898,0,10000,0
Contig2900,0,10000,0.154882154882155
Contig2912,10000,19235,0.201388888888889
Contig2973,0,10000,0.171021377672209
Contig2986,0,10000,0.0121951219512195
Contig2990,0,8969,0.00704225352112676
Contig2992,0,10000,0.0384615384615385
Contig3072,0,7979,0.0915032679738562
Contig3092,0,10000,0.00564971751412429
Contig3105,10000,20000,0.0708661417322835
Contig3181,0,7551,0.00625
Contig3185,10000,14771,0.0438356164383562
Contig3191,0,10000,0.06
Contig3200,0,4266,0.0476190476190476
Contig3206,10000,19408,0.046189376443418
Contig3229,10000,20000,0.24901185770751
Contig3252,0,10000,0.128787878787879
Contig3276,0,9005,0
Contig3292,0,10000,0.0136054421768707
Contig3320,0,10000,0.03
Contig3370,0,10000,0.0025062656641604
Contig3372,10000,20000,0.00147710487444609
Contig3435,0,10000,0.00591715976331361
Contig3437,0,10000,0.0714285714285714
Contig3441,0,7746,0.103448275862069
Contig3454,0,10000,0.0384615384615385
Contig3459,0,10000,0
Contig3479,10000,13697,0
Contig3484,0,6552,0.0277777777777778
Contig3535,20000,25150,0.165680473372781
Contig3547,10000,15377,0.198019801980198
Contig3565,0,10000,-0.0031055900621118
Contig3644,0,9765,0.0913385826771654
Contig3648,0,7374,0.0681818181818182
Contig3685,0,10000,0.00688468158347676
Contig3706,0,10000,0.137142857142857
Contig3710,0,10000,0.0383141762452107
Contig3730,0,10000,0
Contig3742,20000,22299,0.392226148409894
Contig3780,0,10000,0.104651162790698
Contig3859,10000,20000,-0.00373831775700935
Contig3882,0,10000,0.0297029702970297
Contig3917,0,10000,0.119402985074627
Contig3946,0,10000,0
Contig3960,0,10000,0.105590062111801
Contig3962,0,10000,0.0173913043478261
Contig3964,0,10000,0.171945701357466
Contig3976,0,8447,-0.00464037122969838
Contig3979,10000,20000,0.0717054263565891
Contig4027,0,7498,0.104761904761905
Contig4043,10000,20000,0.00793650793650794
Contig4083,0,10000,0.0411764705882353
Contig4084,0,10000,0.054
Contig4087,0,6609,0
Contig4098,0,7256,0.045643153526971
Contig4128,0,5682,0.025
Contig4133,0,9901,0.0780254777070064
Contig4162,0,5191,0
Contig4168,0,10000,0
Contig4205,0,5155,0.0478011472275335
Contig4221,0,9623,0.135627530364372
Contig4297,0,9219,0.0048780487804878
Contig4319,10000,18746,0.0640394088669951
Contig4343,0,10000,0.190594059405941
Contig4437,0,10000,0.083011583011583
Contig4479,0,7167,0.0594059405940594
Contig4520,0,4224,0.323529411764706
Contig4549,0,8717,0.0163132137030995
Contig4578,0,6675,0.0574712643678161
Contig4670,0,9483,0.0206185567010309
Contig4721,0,8193,0.0552486187845304
Contig4734,0,10000,0.0136054421768707
Contig4734,10000,14055,0.0547945205479452
Contig4752,0,3427,0.058252427184466
Contig4760,0,7921,0.00862068965517241
Contig4807,0,9807,0.0450097847358121
Contig4810,0,10000,0.0573426573426573
Contig4822,0,8115,0.0927835051546392
