id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
Contig0_39226	18	4.289e-01	-2.737e-01	4.170e-01	5.116e-01	6.381e-01	2.731e-01	1.326e+00	3.023e+00	4.588e-01	6.230e-01
Contig0_39234	18	3.746e-01	5.508e-01	4.433e-01	2.141e-01	7.768e-01	2.115e-01	1.891e+00	3.583e+00	-1.285e+00	6.518e-01
Contig0_71523	18	2.534e-01	-1.875e+00	9.461e-01	4.750e-02	8.753e-01	1.745e-01	1.634e+01	2.211e+01	3.859e+00	1.286e+00
Contig0_71533	18	3.298e-01	-1.036e+00	1.210e+00	3.920e-01	3.281e-01	1.746e-01	6.776e+00	7.041e+00	4.740e+00	1.408e+00
Contig0_71542	18	3.008e-01	-3.999e-01	9.777e-01	6.825e-01	6.610e-01	2.714e-01	4.150e+00	7.082e+00	4.123e+00	1.142e+00
Contig0_71546	18	2.103e-01	-4.611e-01	1.220e+00	7.055e-01	8.127e-01	1.465e-01	2.876e+01	2.880e+01	3.912e+00	1.584e+00
Contig0_71558	18	2.647e-01	-2.900e-01	1.013e+00	7.747e-01	6.906e-01	2.411e-01	6.928e+00	1.117e+01	3.835e+00	1.230e+00
Contig0_71617	18	2.855e-01	3.664e-01	6.483e-01	5.720e-01	6.250e-01	2.785e-01	4.905e+00	1.150e+01	8.656e-01	9.464e-01
Contig0_71647	18	2.746e-01	5.317e-01	7.288e-01	4.657e-01	8.473e-01	1.814e-01	5.036e+00	6.911e+00	1.843e+00	9.809e-01
Contig0_71680	18	3.375e-01	1.365e-01	6.781e-01	8.404e-01	7.392e-01	2.362e-01	3.493e+00	8.413e+00	2.626e+00	9.061e-01
Contig0_71685	18	2.902e-01	-8.345e-02	7.386e-01	9.100e-01	6.981e-01	2.403e-01	5.434e+00	1.045e+01	2.522e+00	1.004e+00
Contig0_71690	18	2.548e-01	-9.802e-01	9.881e-01	3.212e-01	6.433e-01	2.395e-01	5.546e+00	1.063e+01	4.111e+00	1.176e+00
Contig0_71699	18	2.274e-01	-9.866e-01	9.040e-01	2.752e-01	7.765e-01	1.848e-01	8.775e+00	1.404e+01	3.393e+00	1.184e+00
Contig0_71701	18	3.315e-01	1.026e-01	6.977e-01	8.831e-01	6.473e-01	2.789e-01	2.731e+00	5.034e+00	2.863e+00	9.807e-01
Contig100023_8119	18	2.737e-01	1.046e-01	7.121e-01	8.833e-01	6.434e-01	2.256e-01	3.315e+00	4.900e+00	1.997e+00	9.176e-01
Contig100117_1003	18	3.298e-01	-1.740e-01	1.379e+00	8.996e-01	2.465e-01	1.523e-01	9.099e+00	5.458e+00	3.326e+00	1.413e+00
Contig100137_22	18	3.489e-01	8.191e-01	6.193e-01	1.860e-01	6.085e-01	2.932e-01	2.330e+00	4.307e+00	1.471e+00	8.430e-01
Contig100137_27	18	2.555e-01	1.185e-01	7.591e-01	8.759e-01	8.101e-01	1.862e-01	8.758e+00	1.305e+01	1.686e+00	1.072e+00
Contig100137_122	18	2.299e-01	2.538e-01	6.305e-01	6.872e-01	6.739e-01	2.127e-01	4.058e+00	7.119e+00	1.647e+00	8.821e-01
Contig100137_144	18	2.864e-01	1.750e-01	6.858e-01	7.986e-01	7.357e-01	2.137e-01	3.579e+00	6.759e+00	2.222e+00	8.894e-01
Contig100137_157	18	2.875e-01	1.304e+00	6.883e-01	5.812e-02	7.467e-01	2.404e-01	3.935e+00	8.322e+00	1.397e+00	9.406e-01
Contig100137_197	18	4.269e-01	2.137e-02	3.672e-01	9.536e-01	6.205e-01	2.887e-01	8.318e-01	2.846e+00	1.426e+00	5.368e-01
Contig100139_807	18	2.229e-01	4.179e-01	7.281e-01	5.659e-01	7.274e-01	2.079e-01	5.954e+00	9.937e+00	1.565e+00	1.112e+00
Contig100139_835	18	2.496e-01	-1.249e-01	5.224e-01	8.110e-01	6.582e-01	2.393e-01	2.442e+00	3.605e+00	1.986e+00	7.646e-01
Contig100139_896	18	2.402e-01	4.603e-01	7.812e-01	5.557e-01	7.102e-01	2.321e-01	5.539e+00	7.688e+00	1.788e+00	1.018e+00
Contig100164_505	18	3.593e-01	4.671e-01	5.650e-01	4.084e-01	7.641e-01	2.404e-01	3.591e+00	7.564e+00	1.418e+00	7.819e-01
Contig100164_509	18	3.769e-01	3.042e-01	4.968e-01	5.404e-01	7.214e-01	2.403e-01	1.822e+00	3.355e+00	6.777e-01	7.633e-01
Contig100164_1018	18	2.706e-01	-1.636e-01	1.256e+00	8.963e-01	6.811e-01	2.756e-01	8.109e+00	1.400e+01	2.962e+00	1.225e+00
Contig100164_1026	18	3.406e-01	-3.297e-01	6.568e-01	6.156e-01	6.101e-01	2.737e-01	2.231e+00	5.123e+00	3.668e+00	8.953e-01
Contig100164_1037	18	2.492e-01	5.791e-01	7.408e-01	4.344e-01	5.819e-01	2.630e-01	4.521e+00	8.361e+00	2.230e+00	1.022e+00
Contig100188_606	18	2.993e-01	3.138e-01	1.122e+00	7.798e-01	7.802e-01	2.373e-01	7.486e+00	1.294e+01	3.260e+00	1.210e+00
Contig100188_613	18	2.232e-01	-1.734e-01	1.142e+00	8.793e-01	5.930e-01	2.653e-01	1.444e+01	1.946e+01	3.511e+00	1.390e+00
Contig100188_616	18	2.811e-01	1.579e-01	9.376e-01	8.663e-01	6.101e-01	2.877e-01	7.204e+00	1.441e+01	3.723e+00	1.229e+00
Contig100199_24194	18	2.919e-01	8.590e-02	7.546e-01	9.094e-01	7.938e-01	2.118e-01	5.878e+00	1.038e+01	2.738e+00	1.021e+00
Contig100231_3835	18	3.019e-01	1.442e+00	1.940e+00	4.572e-01	3.812e-01	1.732e-01	2.326e+01	1.578e+01	3.898e+00	1.750e+00
Contig100231_3858	18	2.780e-01	4.392e-01	8.192e-01	5.919e-01	6.480e-01	2.970e-01	5.266e+00	8.687e+00	3.378e+00	1.077e+00
Contig100231_3862	18	3.215e-01	5.631e-01	9.610e-01	5.579e-01	3.687e-01	1.910e-01	3.051e+00	2.911e+00	3.151e+00	1.196e+00
Contig100231_3874	18	3.248e-01	-1.918e+00	2.442e+00	4.322e-01	3.507e-01	1.728e-01	3.580e+01	2.090e+01	-1.142e+00	1.946e+00
Contig100231_3886	18	3.407e-01	-9.981e-02	5.812e-01	8.636e-01	5.895e-01	2.754e-01	2.016e+00	4.909e+00	2.934e+00	8.441e-01
Contig100231_3896	18	2.725e-01	1.304e-01	7.216e-01	8.566e-01	6.661e-01	2.744e-01	5.726e+00	1.190e+01	3.212e+00	1.021e+00
Contig100231_3912	18	2.634e-01	-2.777e-01	8.852e-01	7.537e-01	7.903e-01	2.100e-01	8.306e+00	1.665e+01	3.747e+00	1.249e+00
Contig100242_4082	18	2.635e-01	1.123e+00	8.053e-01	1.630e-01	7.037e-01	2.202e-01	5.584e+00	1.067e+01	2.229e+00	1.031e+00
Contig100242_4084	18	3.745e-01	-1.843e-01	4.250e-01	6.645e-01	8.032e-01	1.887e-01	1.553e+00	3.205e+00	2.409e+00	6.554e-01
Contig100242_4094	18	3.647e-01	4.507e-01	5.916e-01	4.461e-01	6.572e-01	2.820e-01	1.688e+00	3.909e+00	2.541e+00	8.038e-01
Contig100242_4100	18	3.461e-01	3.950e-02	6.011e-01	9.476e-01	7.395e-01	2.250e-01	2.382e+00	3.844e+00	2.203e+00	8.580e-01
