UNIPROT_ACCESSION	Name	Species
A0MGZ7	heparan sulfate 6-O-sulfotransferase 3b(hs6st3b)	Danio rerio
Q80X44	zinc finger and BTB domain containing 24(Zbtb24)	Mus musculus
P49657	minibrain(mnb)	Drosophila melanogaster
Q6DFQ5	transmembrane protein 97(tmem97)	Xenopus tropicalis
A4FU69	EF-hand calcium binding domain 5(EFCAB5)	Homo sapiens
Q5DU57	spermatogenesis associated 13(Spata13)	Mus musculus
Q5RJS9	ribosome production factor 1 homolog(Rpf1)	Rattus norvegicus
Q5R7K6	ER membrane protein complex subunit 1(EMC1)	Pongo abelii
Q7T163	kinase D-interacting substrate 220b(kidins220b)	Danio rerio
O95477	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
Q5EB73	transmembrane protein 246(Tmem246)	Rattus norvegicus
P79732	ribonucleotide reductase M1 polypeptide(rrm1)	Danio rerio
Q99758	ATP binding cassette subfamily A member 3(ABCA3)	Homo sapiens
Q6INA9	SET domain, bifurcated 1 L homeolog(setdb1.L)	Xenopus laevis
Q96KE9	BTB domain containing 6(BTBD6)	Homo sapiens
P0C0T2	ankyrin repeat and sterile alpha motif domain containing 6(Anks6)	Rattus norvegicus
Q3TTL0	RIKEN cDNA 4930453N24 gene(4930453N24Rik)	Mus musculus
Q9CVD2	ataxin 3(Atxn3)	Mus musculus
Q5ZKN5	family with sequence similarity 53 member A(FAM53A)	Gallus gallus
Q5VYX0	renalase, FAD dependent amine oxidase(RNLS)	Homo sapiens
O54941	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1(Smarce1)	Mus musculus
P45954	acyl-CoA dehydrogenase, short/branched chain(ACADSB)	Homo sapiens
Q9DBV3	DEAH (Asp-Glu-Ala-His) box polypeptide 34(Dhx34)	Mus musculus
Q28FH2	SCY1-like, kinase-like 1(scyl1)	Xenopus tropicalis
Q6P1J0	mannosidase, endo-alpha-like(Maneal)	Mus musculus
Q2T9T9	F-box and WD repeat domain containing 9(FBXW9)	Bos taurus
P61244	MYC associated factor X(MAX)	Homo sapiens
Q00420	GA repeat binding protein, beta 1(Gabpb1)	Mus musculus
Q7ZU45	tetratricopeptide repeat domain 25(ttc25)	Danio rerio
Q6AWX0	Major facilitator superfamily protein(AT5G17010)	Arabidopsis thaliana
Q9QXX0	jagged 1(Jag1)	Mus musculus
Q562E7	WD repeat domain 81(WDR81)	Homo sapiens
Q5R7T9	metal response element binding transcription factor 2(MTF2)	Pongo abelii
Q1RMK1	family with sequence similarity 92 member B(FAM92B)	Bos taurus
A4QNC6	family with sequence similarity 136 member A(fam136a)	Xenopus tropicalis
Q9HB75	p53-induced death domain protein 1(PIDD1)	Homo sapiens
Q5F477	lipid droplet associated hydrolase(LDAH)	Gallus gallus
Q6P6S0	synaptosomal-associated protein, 47(Snap47)	Rattus norvegicus
Q14656	transmembrane protein 187(TMEM187)	Homo sapiens
Q4V8G4	WD repeat domain 78(Wdr78)	Rattus norvegicus
Q2NL11	chromosome 8 open reading frame, human C8orf74(C8H8orf74)	Bos taurus
O14513	NCK associated protein 5(NCKAP5)	Homo sapiens
O89110	caspase 8(Casp8)	Mus musculus
Q5TCS8	adenylate kinase 9(AK9)	Homo sapiens
Q8TDB6	deltex E3 ubiquitin ligase 3L(DTX3L)	Homo sapiens
Q95078	Cytochrome P450-18a1(Cyp18a1)	Drosophila melanogaster
P20303	solute carrier family 2 member 1(SLC2A1)	Sus scrofa
Q7Z442	polycystin 1 like 2 (gene/pseudogene)(PKD1L2)	Homo sapiens
Q7T3H9	hydroxypyruvate isomerase(hyi)	Danio rerio
A8MPX8	protein phosphatase 2C like domain containing 1(PP2D1)	Homo sapiens
P59759	MKL/myocardin-like 2(Mkl2)	Mus musculus
Q32LP7	src kinase associated phosphoprotein 2(SKAP2)	Bos taurus
P22682	Casitas B-lineage lymphoma(Cbl)	Mus musculus
O14512	suppressor of cytokine signaling 7(SOCS7)	Homo sapiens
Q9QXW0	F-box and leucine-rich repeat protein 6(Fbxl6)	Mus musculus
P30638	Putative transporter svop-1(svop-1)	Caenorhabditis elegans
Q8N9V6	ankyrin repeat domain 53(ANKRD53)	Homo sapiens
G5ECP4	Pelle/IL-1 receptor associated Kinase (IRAK)(pik-1)	Caenorhabditis elegans
P62914	ribosomal protein L11(Rpl11)	Rattus norvegicus
Q08BG1	transmembrane protein with metallophosphoesterase domain(tmppe)	Danio rerio
Q66HA5	coiled-coil and C2 domain containing 1A(Cc2d1a)	Rattus norvegicus
Q8CG64	fukutin related protein(Fkrp)	Mus musculus
Q5SNZ0	coiled coil domain containing 88A(Ccdc88a)	Mus musculus
Q9DAM1	leucine rich repeat containing 34(Lrrc34)	Mus musculus
Q14517	FAT atypical cadherin 1(FAT1)	Homo sapiens
Q14CX7	N(alpha)-acetyltransferase 25, NatB auxiliary subunit(NAA25)	Homo sapiens
X1WE18	KN motif and ankyrin repeat domains 2(kank2)	Danio rerio
P35555	fibrillin 1(FBN1)	Homo sapiens
Q5FVM7	DnaJ heat shock protein family (Hsp40) member C16(Dnajc16)	Rattus norvegicus
